FILE,PAGE,V1.3,V2.3,V3.3,V4.3,V5.3,CLASS-1,SCORE-1,CLASS-2,SCORE-2,CLASS-3,SCORE-3
Master_Diploma,1,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,0.9997999999999999,TEXT,0.0002,,
Master_Diploma,2,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,1.0,,,,
Master_Diploma,3,PHOTO_L,DRAW_L,DRAW_L,LINE_P,DRAW_L,DRAW_L,0.48740000000000006,LINE_P,0.27240000000000003,PHOTO_L,0.225
