FILE,PAGE,CLASS-1,CLASS-2,CLASS-3,SCORE-1,SCORE-2,SCORE-3
atrium,1,TEXT,LINE_P,TEXT_P,0.981,0.017,0.002
atrium,2,LINE_P,TEXT,TEXT_P,1.0,0.0,0.0
atrium,3,TEXT_P,TEXT,PHOTO,0.999,0.001,0.0
atrium,4,LINE_P,TEXT,TEXT_P,0.799,0.146,0.055
atrium,9,LINE_P,LINE_T,TEXT_P,1.0,0.0,0.0
atrium,10,LINE_P,TEXT,TEXT_P,1.0,0.0,0.0
atrium,11,LINE_P,TEXT,PHOTO,1.0,0.0,0.0
atrium,12,LINE_P,LINE_T,TEXT,1.0,0.0,0.0
atrium,20,TEXT_P,TEXT,LINE_P,0.978,0.022,0.0
atrium,22,TEXT_P,TEXT,PHOTO,0.986,0.014,0.0
atrium,23,TEXT_P,TEXT,PHOTO,0.549,0.451,0.0
atrium,24,TEXT_P,TEXT,PHOTO,1.0,0.0,0.0
atrium,25,TEXT_P,TEXT,PHOTO,0.999,0.001,0.0
atrium,26,TEXT_P,TEXT,LINE_P,0.998,0.002,0.0
atrium,28,TEXT_P,TEXT,PHOTO,1.0,0.0,0.0
atrium,31,TEXT_P,TEXT,PHOTO,0.999,0.001,0.0
atrium,33,TEXT_P,TEXT,PHOTO,0.99,0.01,0.0
atrium,34,TEXT,DRAW,LINE_HW,0.994,0.003,0.003
atrium,35,TEXT,TEXT_P,DRAW,0.69,0.306,0.004
caa_conference,1,PHOTO,TEXT,DRAW,0.995,0.004,0.001
caa_conference,2,DRAW,DRAW_L,LINE_HW,1.0,0.0,0.0
caa_conference,4,DRAW,TEXT,TEXT_P,0.741,0.151,0.108
caa_conference,5,DRAW,PHOTO,LINE_HW,1.0,0.0,0.0
caa_conference,6,TEXT_P,TEXT,PHOTO,0.957,0.043,0.0
caa_conference,7,TEXT_P,TEXT,LINE_P,0.998,0.002,0.0
caa_conference,8,PHOTO,PHOTO_L,DRAW,0.868,0.132,0.0
caa_conference,9,DRAW,PHOTO,LINE_P,0.957,0.033,0.01
caa_conference,10,DRAW,PHOTO,TEXT,0.998,0.001,0.0
caa_conference,11,TEXT_P,LINE_P,TEXT,0.998,0.002,0.0
caa_conference,12,DRAW,PHOTO,DRAW_L,0.964,0.02,0.017
caa_conference,13,TEXT_P,TEXT,LINE_P,1.0,0.0,0.0
caa_conference,14,DRAW,PHOTO,LINE_HW,0.999,0.001,0.0
caa_conference,15,PHOTO,DRAW,PHOTO_L,0.999,0.001,0.0
caa_conference,17,PHOTO_L,DRAW_L,TEXT,0.95,0.048,0.001
caa_conference,18,TEXT_P,TEXT,LINE_HW,0.98,0.02,0.0
