FILE,PAGE,CLASS-1-v1.3,CATEGORY-v1.3,CLASS-1-v2.3,CATEGORY-v2.3,CLASS-1-v3.3,CATEGORY-v3.3,CLASS-1-v4.3,CATEGORY-v4.3,CLASS-1-v5.3,CATEGORY-v5.3
pages_online,36,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,37,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,38,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,39,PHOTO_L,PHOTO_L,DRAW_L,DRAW_L,DRAW_L,DRAW_L,DRAW_L,DRAW_L,DRAW_L,DRAW_L
pages_online,40,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,41,DRAW,DRAW,LINE_P,LINE_P,DRAW,DRAW,DRAW_L,DRAW_L,DRAW,DRAW
pages_online,42,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,43,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_HW,LINE_HW,LINE_P,LINE_P
pages_online,44,DRAW_L,DRAW_L,DRAW,DRAW,DRAW_L,DRAW_L,DRAW,DRAW,DRAW,DRAW
pages_online,45,DRAW,DRAW,LINE_P,LINE_P,DRAW,DRAW,DRAW_L,DRAW_L,DRAW,DRAW
pages_online,46,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,47,PHOTO,PHOTO,DRAW,DRAW,PHOTO,PHOTO,PHOTO,PHOTO,DRAW,DRAW
pages_online,48,DRAW_L,DRAW_L,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,49,LINE_P,LINE_P,LINE_T,LINE_T,LINE_HW,LINE_HW,LINE_HW,LINE_HW,LINE_HW,LINE_HW
pages_online,50,PHOTO,PHOTO,DRAW,DRAW,PHOTO,PHOTO,PHOTO,PHOTO,DRAW,DRAW
pages_online,51,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
pages_online,52,LINE_P,LINE_P,DRAW_L,DRAW_L,LINE_P,LINE_P,LINE_P,LINE_P,DRAW_L,DRAW_L
pages_online,54,LINE_T,LINE_T,LINE_HW,LINE_HW,LINE_T,LINE_T,LINE_HW,LINE_HW,LINE_T,LINE_T
pages_online,55,LINE_T,LINE_T,DRAW_L,DRAW_L,LINE_P,LINE_P,LINE_HW,LINE_HW,DRAW_L,DRAW_L
pages_online,56,LINE_P,LINE_P,PHOTO_L,PHOTO_L,PHOTO_L,PHOTO_L,LINE_P,LINE_P,PHOTO_L,PHOTO_L
pages_online,57,DRAW,DRAW,DRAW,DRAW,PHOTO,PHOTO,DRAW,DRAW,DRAW,DRAW
pages_online,58,DRAW,DRAW,LINE_HW,LINE_HW,LINE_HW,LINE_HW,LINE_HW,LINE_HW,LINE_HW,LINE_HW
pages_online,59,LINE_P,LINE_P,PHOTO_L,PHOTO_L,PHOTO_L,PHOTO_L,LINE_P,LINE_P,PHOTO_L,PHOTO_L
pages_online,60,LINE_T,LINE_T,PHOTO_L,PHOTO_L,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW
