FILE,PAGE,CATEGORY
CTX192700593,40,TEXT_HW
CTX192800195,1,LINE_HW
CTX193001304,1,TEXT_HW
CTX193100253,29,TEXT_T
CTX193200994,24,DRAW
CTX193200994,33,PHOTO
CTX193201713,1,TEXT
CTX193201748,16,TEXT_HW
CTX193201748,49,PHOTO
CTX193300924,1,TEXT
CTX193401762,12,TEXT_HW
CTX193601098,1,TEXT
CTX193601434,1,TEXT
CTX193700040,1,TEXT
CTX193701944A,10,TEXT_HW
CTX193701944A,18,PHOTO
CTX193702004,1,TEXT
CTX193801636,72,TEXT_T
CTX193801636,159,TEXT_T
CTX193801636,188,TEXT_HW
CTX194102101,59,TEXT
CTX194102101,133,TEXT
CTX194103122,1,PHOTO_L
CTX194103984,1,TEXT_HW
CTX194201336,260,LINE_T
CTX194203019B,6,LINE_T
CTX194203019B,10,TEXT_T
CTX194300888,18,PHOTO_L
CTX194301332,7,LINE_T
CTX194301332,47,PHOTO
CTX194501159,1,DRAW_L
CTX194501831,1,DRAW_L
CTX194501892,1,DRAW_L
CTX194502780,1,DRAW_L
CTX194502989,1,DRAW
CTX194603902,7,DRAW_L
CTX194603902,24,LINE_T
CTX194603967,1,DRAW
CTX194604274,16,TEXT_HW
CTX194606420,1,PHOTO_L
CTX194607858,37,LINE_HW
CTX194707363,30,TEXT
CTX194901219,1,PHOTO_L
CTX195100667,117,LINE_T
CTX195100919,1,DRAW_L
CTX195401407,1,PHOTO_L
CTX195500114,1,LINE_HW
CTX195700902,1,PHOTO_L
CTX195701276,1,PHOTO_L
CTX195705013,73,LINE_HW
CTX195801326,1,TEXT
CTX195902663,135,LINE_T
CTX195906334,105,TEXT_T
CTX195906334,125,LINE_T
CTX195906334,152,DRAW
CTX196001290,23,LINE_T
CTX196306858,246,TEXT
CTX196407192,76,LINE_HW
CTX196504419,1,TEXT_HW
CTX196706503,14,LINE_T
CTX197002153,11,LINE_T
CTX197005669,57,LINE_T
CTX197006330,6,TEXT_T
CTX197305805,15,DRAW_L
CTX197402830,248,LINE_T
CTX197403592,3,PHOTO_L
CTX197408817,65,LINE_T
CTX197408817,247,LINE_T
CTX197703235,1,TEXT
CTX197704822,1,DRAW
CTX197803014,1,TEXT
CTX198002297,1,DRAW_L
CTX198004861,22,LINE_T
CTX198100806,2,TEXT
CTX198100806,21,PHOTO_L
CTX198102153,1,PHOTO_L
CTX198303113,1,TEXT
CTX198703301,1,TEXT
CTX198801404,1,DRAW_L
CTX198801502,1,TEXT
CTX198901592,246,DRAW
CTX198901592,304,PHOTO
CTX198901592,327,LINE_T
CTX198901592,391,TEXT_T
CTX199104202,1,LINE_T
CTX199400628,1,LINE_T
CTX199500117,1,TEXT_HW
CTX199603908,1,LINE_HW
CTX199604924A,69,LINE_P
CTX199805567,251,LINE_T
CTX199805567,311,LINE_P
CTX199805567,337,TEXT_T
CTX199805567,534,LINE_P
CTX199805567,624,DRAW
CTX199806732,1,LINE_P
CTX199807156,5,TEXT_P
CTX199904249,153,LINE_P
CTX199904249,284,DRAW_L
CTX199904249,631,LINE_P
CTX199908716,1,TEXT_P
CTX200409047,1,TEXT
CTX200905448,1,PHOTO
CTX201001607,15,DRAW
CTX201001607,34,TEXT_P
CTX201001607,180,PHOTO
CTX201001607,193,PHOTO
CTX201004072,25,DRAW
CTX201004072,26,TEXT_P
CTX201004072,53,PHOTO
CTX201004072,73,LINE_P
CTX201004072,85,LINE_P
CTX201004072,104,TEXT_P
CTX201404706,439,TEXT_P
CTX201404706,480,LINE_HW
CTX201750154,1,LINE_HW
