FILE,PAGE,CLASS-1-v1.3,CATEGORY-v1.3,CLASS-1-v2.3,CATEGORY-v2.3,CLASS-1-v3.3,CATEGORY-v3.3,CLASS-1-v4.3,CATEGORY-v4.3,CLASS-1-v5.3,CATEGORY-v5.3
atrium,1,TEXT_P,TEXT_P,TEXT,TEXT,TEXT_P,TEXT_P,TEXT,TEXT,TEXT,TEXT
atrium,2,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
atrium,3,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,4,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,TEXT_P,TEXT_P
atrium,5,TEXT_P,TEXT_P,TEXT,TEXT,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT,TEXT
atrium,6,TEXT_P,TEXT_P,TEXT,TEXT,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT,TEXT
atrium,7,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,8,TEXT_P,TEXT_P,TEXT,TEXT,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,9,LINE_T,LINE_T,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_T,LINE_T
atrium,10,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
atrium,11,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_T,LINE_T
atrium,12,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
atrium,13,TEXT_P,TEXT_P,TEXT,TEXT,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,14,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,15,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,16,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,17,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,18,TEXT_P,TEXT_P,TEXT,TEXT,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,19,TEXT_P,TEXT_P,TEXT,TEXT,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,20,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,21,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,22,TEXT_P,TEXT_P,TEXT,TEXT,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,23,TEXT_P,TEXT_P,TEXT,TEXT,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,24,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,25,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,26,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,27,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,28,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,29,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,30,TEXT,TEXT,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
atrium,31,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
