FILE,PAGE,CLASS-1,CLASS-2,CLASS-3,CLASS-4,CLASS-5,SCORE-1,SCORE-2,SCORE-3,SCORE-4,SCORE-5
CTX192601320,1,TEXT_HW,LINE_HW,PHOTO_L,TEXT_T,DRAW_L,1.0,0.0,0.0,0.0,0.0
CTX192901243,1,LINE_HW,LINE_T,LINE_P,TEXT,DRAW_L,1.0,0.0,0.0,0.0,0.0
CTX192901243,2,TEXT_HW,LINE_HW,DRAW,PHOTO_L,LINE_P,1.0,0.0,0.0,0.0,0.0
CTX192901243,3,TEXT_T,DRAW_L,TEXT,PHOTO,DRAW,1.0,0.0,0.0,0.0,0.0
CTX192901243,4,TEXT,DRAW,LINE_T,DRAW_L,PHOTO,0.939,0.055,0.004,0.001,0.001
CTX193000229,1,LINE_HW,TEXT_HW,LINE_P,TEXT_T,PHOTO,1.0,0.0,0.0,0.0,0.0
CTX193000229,2,TEXT_HW,TEXT,LINE_HW,PHOTO_L,TEXT_T,1.0,0.0,0.0,0.0,0.0
CTX193000229,3,TEXT_HW,PHOTO_L,LINE_P,TEXT_T,DRAW_L,1.0,0.0,0.0,0.0,0.0
CTX193102237,1,TEXT_T,TEXT,TEXT_P,LINE_T,PHOTO,0.999,0.001,0.0,0.0,0.0
CTX193102237,2,TEXT,DRAW,LINE_HW,DRAW_L,TEXT_HW,1.0,0.0,0.0,0.0,0.0
CTX193102237,3,LINE_T,PHOTO_L,PHOTO,DRAW,TEXT,1.0,0.0,0.0,0.0,0.0
CTX193102237,4,LINE_T,PHOTO_L,PHOTO,DRAW,TEXT_P,1.0,0.0,0.0,0.0,0.0
CTX193102237,5,LINE_T,PHOTO,LINE_P,PHOTO_L,DRAW,1.0,0.0,0.0,0.0,0.0
CTX193102237,6,LINE_T,PHOTO,TEXT_P,PHOTO_L,DRAW,1.0,0.0,0.0,0.0,0.0
CTX193102237,7,LINE_T,PHOTO_L,PHOTO,DRAW,TEXT_P,1.0,0.0,0.0,0.0,0.0
CTX193102237,8,LINE_T,PHOTO,DRAW,PHOTO_L,TEXT_T,1.0,0.0,0.0,0.0,0.0
CTX193102237,9,LINE_T,PHOTO,DRAW,TEXT_P,LINE_P,1.0,0.0,0.0,0.0,0.0
CTX194003463,1,PHOTO,TEXT,PHOTO_L,DRAW,TEXT_HW,0.989,0.007,0.003,0.001,0.0
CTX194004617,1,TEXT,PHOTO,PHOTO_L,DRAW_L,LINE_HW,1.0,0.0,0.0,0.0,0.0
CTX194103705,1,TEXT_HW,DRAW,DRAW_L,TEXT,LINE_T,1.0,0.0,0.0,0.0,0.0
CTX194103705,2,DRAW,TEXT_HW,LINE_T,DRAW_L,LINE_HW,1.0,0.0,0.0,0.0,0.0
CTX194103705,3,DRAW,TEXT_T,TEXT,TEXT_HW,LINE_T,1.0,0.0,0.0,0.0,0.0
CTX194300428,1,TEXT,PHOTO_L,DRAW_L,PHOTO,LINE_HW,1.0,0.0,0.0,0.0,0.0
CTX194401342,1,TEXT,TEXT_T,LINE_T,PHOTO_L,PHOTO,1.0,0.0,0.0,0.0,0.0
