FILE,PAGE,DRAW,DRAW_L,LINE_HW,LINE_P,LINE_T,PHOTO,PHOTO_L,TEXT,TEXT_HW,TEXT_P,TEXT_T
CTX194501159,1,0.656,0.245,0.013,0.034,0.009,0.008,0.006,0.004,0.004,0.01,0.01
CTX194502780,1,0.597,0.379,0.002,0.004,0.001,0.007,0.006,0.001,0.001,0.001,0.001
CTX195906334,152,0.56,0.26,0.009,0.033,0.004,0.043,0.043,0.015,0.009,0.016,0.009
CTX193200994,24,0.547,0.406,0.004,0.004,0.001,0.01,0.02,0.003,0.003,0.001,0.002
CTX195100919,1,0.542,0.416,0.002,0.007,0.003,0.006,0.008,0.004,0.002,0.005,0.005
CTX197403592,3,0.463,0.073,0.022,0.025,0.01,0.196,0.078,0.035,0.022,0.027,0.05
CTX195700902,1,0.449,0.212,0.063,0.056,0.021,0.061,0.074,0.012,0.019,0.015,0.018
CTX198901592,246,0.427,0.408,0.008,0.06,0.011,0.019,0.037,0.005,0.003,0.015,0.008
CTX193200994,33,0.385,0.397,0.001,0.003,0.0,0.061,0.151,0.0,0.001,0.001,0.0
CTX199904249,284,0.302,0.283,0.02,0.086,0.033,0.12,0.086,0.003,0.005,0.022,0.039
CTX201001607,15,0.292,0.6,0.018,0.025,0.003,0.006,0.041,0.003,0.005,0.004,0.002
CTX194502989,1,0.276,0.349,0.054,0.087,0.016,0.027,0.08,0.021,0.024,0.031,0.034
CTX201001607,180,0.261,0.185,0.002,0.019,0.002,0.227,0.227,0.03,0.003,0.032,0.013
CTX198801404,1,0.245,0.213,0.062,0.055,0.036,0.022,0.038,0.144,0.063,0.053,0.07
CTX197704822,1,0.233,0.032,0.041,0.011,0.001,0.197,0.034,0.121,0.291,0.027,0.013
CTX194603902,7,0.2,0.118,0.035,0.118,0.033,0.12,0.078,0.06,0.046,0.104,0.088
CTX194501831,1,0.187,0.127,0.127,0.209,0.042,0.032,0.039,0.052,0.043,0.084,0.058
CTX194603967,1,0.119,0.203,0.022,0.108,0.029,0.089,0.304,0.04,0.007,0.027,0.052
CTX193701944A,18,0.093,0.088,0.002,0.012,0.0,0.274,0.528,0.001,0.0,0.002,0.0
CTX198901592,304,0.085,0.065,0.005,0.035,0.003,0.353,0.381,0.017,0.009,0.035,0.011
CTX201004072,53,0.057,0.045,0.001,0.002,0.0,0.204,0.69,0.0,0.0,0.001,0.0
CTX194501892,1,0.05,0.032,0.042,0.134,0.071,0.143,0.13,0.07,0.026,0.12,0.181
CTX194603902,24,0.047,0.055,0.059,0.19,0.102,0.097,0.119,0.072,0.033,0.096,0.129
CTX197305805,15,0.045,0.119,0.146,0.373,0.119,0.019,0.093,0.011,0.015,0.024,0.035
CTX200905448,1,0.04,0.009,0.001,0.017,0.003,0.465,0.041,0.041,0.01,0.301,0.073
CTX194103984,1,0.038,0.048,0.374,0.076,0.021,0.027,0.039,0.14,0.2,0.021,0.016
CTX194301332,47,0.035,0.09,0.009,0.028,0.001,0.137,0.696,0.001,0.001,0.002,0.0
