FILE,PAGE,DRAW,DRAW_L,LINE_HW,LINE_P,LINE_T,PHOTO,PHOTO_L,TEXT,TEXT_HW,TEXT_P,TEXT_T
CTX193200994,24,0.521,0.426,0.009,0.002,0.003,0.005,0.01,0.003,0.012,0.002,0.006
CTX197704822,1,0.468,0.382,0.046,0.01,0.002,0.006,0.019,0.029,0.026,0.007,0.005
CTX194502780,1,0.372,0.613,0.003,0.004,0.001,0.001,0.003,0.001,0.001,0.0,0.001
CTX199904249,284,0.308,0.354,0.013,0.097,0.019,0.054,0.105,0.003,0.002,0.027,0.018
CTX195100919,1,0.293,0.672,0.008,0.011,0.002,0.001,0.003,0.004,0.001,0.002,0.002
CTX193200994,33,0.285,0.309,0.018,0.025,0.004,0.133,0.144,0.019,0.016,0.038,0.009
CTX194501159,1,0.187,0.704,0.03,0.042,0.017,0.002,0.008,0.002,0.001,0.003,0.004
CTX197403592,3,0.174,0.379,0.144,0.107,0.031,0.036,0.075,0.022,0.009,0.011,0.014
CTX195906334,152,0.161,0.387,0.111,0.101,0.019,0.032,0.074,0.056,0.013,0.032,0.014
CTX201001607,180,0.146,0.241,0.016,0.071,0.008,0.096,0.273,0.045,0.005,0.085,0.015
CTX194502989,1,0.144,0.528,0.134,0.056,0.028,0.004,0.02,0.016,0.022,0.018,0.031
CTX198901592,246,0.127,0.657,0.018,0.082,0.014,0.01,0.059,0.006,0.002,0.014,0.01
CTX194301332,47,0.102,0.397,0.019,0.027,0.004,0.076,0.368,0.002,0.001,0.003,0.001
CTX198801404,1,0.09,0.319,0.278,0.064,0.082,0.003,0.009,0.064,0.038,0.007,0.047
CTX201001607,15,0.089,0.69,0.009,0.074,0.005,0.007,0.107,0.005,0.001,0.009,0.003
CTX194501831,1,0.057,0.415,0.202,0.139,0.084,0.004,0.035,0.01,0.008,0.014,0.032
CTX193701944A,18,0.057,0.102,0.008,0.006,0.003,0.216,0.597,0.003,0.002,0.001,0.003
CTX195700902,1,0.053,0.318,0.24,0.153,0.168,0.004,0.025,0.008,0.005,0.005,0.021
CTX194603902,7,0.039,0.205,0.192,0.205,0.092,0.032,0.113,0.042,0.014,0.024,0.042
CTX194501892,1,0.038,0.189,0.311,0.098,0.106,0.007,0.023,0.046,0.048,0.024,0.109
CTX198901592,304,0.038,0.096,0.013,0.019,0.006,0.23,0.553,0.011,0.009,0.011,0.015
CTX197305805,15,0.033,0.385,0.185,0.191,0.107,0.003,0.05,0.009,0.005,0.012,0.021
CTX201004072,53,0.029,0.192,0.013,0.044,0.006,0.095,0.601,0.002,0.001,0.01,0.005
CTX201001607,193,0.018,0.191,0.121,0.21,0.039,0.029,0.223,0.013,0.028,0.083,0.043
CTX194603902,24,0.018,0.178,0.208,0.294,0.115,0.005,0.063,0.047,0.014,0.021,0.036
CTX197703235,1,0.017,0.031,0.56,0.042,0.036,0.011,0.013,0.131,0.107,0.016,0.037
CTX193201748,49,0.016,0.015,0.0,0.001,0.0,0.486,0.479,0.001,0.001,0.001,0.001
CTX195401407,1,0.014,0.051,0.41,0.171,0.102,0.008,0.021,0.047,0.055,0.05,0.07
CTX193201713,1,0.014,0.017,0.213,0.01,0.007,0.01,0.006,0.203,0.423,0.022,0.076
CTX194103984,1,0.013,0.017,0.622,0.023,0.014,0.009,0.014,0.065,0.205,0.004,0.015
CTX194103122,1,0.008,0.078,0.327,0.353,0.108,0.007,0.058,0.012,0.009,0.024,0.018
CTX195100667,117,0.007,0.085,0.547,0.113,0.162,0.0,0.008,0.037,0.023,0.005,0.012
CTX194603967,1,0.007,0.061,0.122,0.271,0.026,0.014,0.126,0.243,0.008,0.095,0.027
CTX198002297,1,0.007,0.032,0.476,0.089,0.079,0.004,0.015,0.084,0.122,0.021,0.07
CTX194300888,18,0.007,0.025,0.464,0.156,0.06,0.02,0.109,0.048,0.055,0.03,0.025
CTX195801326,1,0.006,0.024,0.517,0.081,0.057,0.01,0.028,0.125,0.078,0.026,0.05
CTX195701276,1,0.005,0.051,0.192,0.111,0.037,0.049,0.529,0.003,0.006,0.006,0.01
CTX198100806,21,0.005,0.04,0.145,0.167,0.038,0.071,0.454,0.014,0.014,0.029,0.024
CTX197408817,247,0.004,0.084,0.348,0.186,0.271,0.001,0.028,0.014,0.021,0.01,0.033
CTX196407192,76,0.004,0.061,0.583,0.113,0.085,0.002,0.024,0.053,0.049,0.008,0.018
CTX199805567,624,0.004,0.053,0.245,0.296,0.061,0.002,0.041,0.161,0.03,0.085,0.023
CTX196001290,23,0.004,0.014,0.312,0.172,0.117,0.005,0.02,0.157,0.072,0.044,0.083
CTX199500117,1,0.002,0.02,0.361,0.023,0.046,0.001,0.004,0.114,0.361,0.01,0.059
CTX194604274,16,0.002,0.016,0.715,0.046,0.062,0.002,0.01,0.038,0.085,0.005,0.019
CTX199805567,251,0.002,0.008,0.127,0.102,0.43,0.001,0.003,0.028,0.041,0.041,0.216
CTX200905448,1,0.002,0.002,0.01,0.031,0.017,0.038,0.02,0.058,0.037,0.341,0.444
CTX194102101,133,0.002,0.001,0.123,0.018,0.012,0.006,0.007,0.444,0.265,0.064,0.057
CTX201404706,480,0.001,0.018,0.561,0.185,0.131,0.001,0.019,0.025,0.026,0.016,0.017
CTX197408817,65,0.001,0.018,0.185,0.177,0.386,0.001,0.013,0.035,0.021,0.042,0.12
CTX194606420,1,0.001,0.016,0.374,0.197,0.197,0.004,0.032,0.038,0.026,0.035,0.08
CTX198102153,1,0.001,0.014,0.201,0.154,0.189,0.005,0.019,0.053,0.054,0.08,0.228
CTX199908716,1,0.001,0.013,0.116,0.21,0.085,0.002,0.008,0.067,0.034,0.238,0.224
CTX194901219,1,0.001,0.011,0.478,0.133,0.187,0.004,0.022,0.038,0.032,0.014,0.079
CTX198901592,327,0.001,0.009,0.107,0.171,0.511,0.001,0.004,0.022,0.012,0.038,0.123
CTX198303113,1,0.001,0.007,0.588,0.06,0.112,0.001,0.004,0.053,0.11,0.007,0.057
CTX199104202,1,0.001,0.006,0.483,0.117,0.214,0.002,0.008,0.051,0.033,0.011,0.074
CTX195705013,73,0.001,0.005,0.691,0.032,0.063,0.0,0.002,0.066,0.111,0.004,0.023
CTX193001304,1,0.001,0.005,0.313,0.035,0.019,0.001,0.002,0.248,0.285,0.026,0.066
CTX193601434,1,0.001,0.005,0.109,0.052,0.007,0.03,0.074,0.59,0.048,0.055,0.029
CTX193700040,1,0.001,0.004,0.33,0.021,0.008,0.003,0.004,0.31,0.273,0.017,0.029
CTX201004072,104,0.001,0.004,0.096,0.118,0.124,0.008,0.007,0.122,0.057,0.201,0.261
CTX193201748,16,0.001,0.003,0.531,0.013,0.011,0.01,0.025,0.064,0.327,0.002,0.012
CTX194607858,37,0.001,0.003,0.525,0.017,0.05,0.002,0.004,0.125,0.222,0.006,0.045
CTX201750154,1,0.001,0.003,0.272,0.01,0.029,0.001,0.001,0.187,0.429,0.014,0.053
CTX194301332,7,0.001,0.002,0.304,0.065,0.304,0.002,0.003,0.041,0.063,0.019,0.196
CTX193701944A,10,0.001,0.002,0.187,0.016,0.008,0.001,0.002,0.389,0.328,0.028,0.037
CTX200409047,1,0.001,0.002,0.011,0.033,0.006,0.011,0.01,0.663,0.026,0.167,0.07
CTX193801636,188,0.001,0.001,0.075,0.01,0.03,0.001,0.001,0.079,0.555,0.055,0.192
CTX194203019B,6,0.0,0.01,0.312,0.275,0.235,0.001,0.018,0.034,0.014,0.035,0.066
CTX197005669,57,0.0,0.009,0.194,0.22,0.411,0.001,0.013,0.015,0.02,0.034,0.083
CTX199805567,534,0.0,0.008,0.177,0.296,0.33,0.001,0.012,0.035,0.015,0.051,0.074
CTX198004861,22,0.0,0.005,0.274,0.102,0.425,0.0,0.002,0.017,0.037,0.022,0.116
CTX201004072,26,0.0,0.005,0.097,0.267,0.215,0.001,0.006,0.053,0.018,0.16,0.178
CTX199400628,1,0.0,0.004,0.322,0.103,0.353,0.001,0.01,0.029,0.043,0.018,0.118
CTX197402830,248,0.0,0.004,0.31,0.2,0.197,0.001,0.006,0.099,0.024,0.057,0.102
CTX195902663,135,0.0,0.004,0.094,0.11,0.455,0.001,0.005,0.022,0.016,0.042,0.251
CTX199603908,1,0.0,0.003,0.647,0.053,0.102,0.0,0.001,0.066,0.088,0.008,0.031
CTX201004072,85,0.0,0.003,0.224,0.279,0.326,0.001,0.005,0.028,0.012,0.056,0.067
CTX199604924A,69,0.0,0.003,0.216,0.33,0.261,0.0,0.003,0.024,0.008,0.061,0.094
CTX198801502,1,0.0,0.003,0.191,0.044,0.034,0.001,0.005,0.287,0.245,0.051,0.14
CTX201004072,73,0.0,0.003,0.177,0.306,0.418,0.001,0.009,0.01,0.006,0.025,0.045
CTX192800195,1,0.0,0.002,0.734,0.048,0.057,0.001,0.004,0.045,0.077,0.004,0.026
CTX197002153,11,0.0,0.002,0.537,0.124,0.231,0.001,0.007,0.026,0.022,0.007,0.044
CTX199806732,1,0.0,0.002,0.481,0.111,0.194,0.0,0.001,0.046,0.046,0.026,0.092
CTX195906334,125,0.0,0.002,0.347,0.099,0.22,0.008,0.012,0.058,0.095,0.039,0.12
CTX194201336,260,0.0,0.002,0.333,0.108,0.276,0.008,0.017,0.05,0.045,0.022,0.139
CTX197803014,1,0.0,0.002,0.257,0.107,0.161,0.005,0.013,0.051,0.104,0.074,0.227
CTX195906334,105,0.0,0.002,0.154,0.087,0.143,0.002,0.008,0.091,0.087,0.106,0.322
CTX198100806,2,0.0,0.002,0.149,0.048,0.051,0.005,0.004,0.287,0.101,0.084,0.27
CTX201001607,34,0.0,0.002,0.034,0.089,0.028,0.001,0.003,0.214,0.056,0.406,0.167
CTX201404706,439,0.0,0.002,0.031,0.087,0.02,0.001,0.002,0.444,0.031,0.245,0.135
CTX198703301,1,0.0,0.001,0.614,0.082,0.099,0.001,0.003,0.071,0.068,0.013,0.047
CTX193702004,1,0.0,0.001,0.426,0.043,0.061,0.003,0.003,0.18,0.162,0.017,0.104
CTX193300924,1,0.0,0.001,0.377,0.034,0.045,0.004,0.007,0.128,0.208,0.021,0.173
CTX198901592,391,0.0,0.001,0.314,0.056,0.133,0.001,0.004,0.083,0.153,0.033,0.222
CTX196706503,14,0.0,0.001,0.287,0.058,0.336,0.0,0.001,0.048,0.064,0.03,0.174
CTX195500114,1,0.0,0.001,0.244,0.006,0.012,0.0,0.0,0.196,0.5,0.008,0.032
CTX199904249,631,0.0,0.001,0.222,0.135,0.533,0.001,0.003,0.006,0.005,0.009,0.086
CTX197006330,6,0.0,0.001,0.222,0.108,0.152,0.001,0.002,0.157,0.06,0.082,0.215
CTX199805567,311,0.0,0.001,0.22,0.22,0.182,0.0,0.006,0.094,0.035,0.121,0.121
CTX199904249,153,0.0,0.001,0.14,0.177,0.475,0.0,0.001,0.005,0.008,0.029,0.164
CTX194102101,59,0.0,0.001,0.13,0.038,0.038,0.002,0.004,0.332,0.239,0.091,0.124
CTX196306858,246,0.0,0.001,0.121,0.072,0.112,0.002,0.006,0.19,0.068,0.121,0.308
CTX193601098,1,0.0,0.001,0.087,0.021,0.008,0.005,0.005,0.64,0.13,0.045,0.058
CTX194203019B,10,0.0,0.001,0.029,0.054,0.051,0.006,0.004,0.135,0.062,0.244,0.415
CTX192700593,40,0.0,0.0,0.199,0.013,0.012,0.0,0.0,0.256,0.435,0.031,0.054
CTX196504419,1,0.0,0.0,0.145,0.008,0.011,0.001,0.001,0.343,0.407,0.022,0.061
CTX193100253,29,0.0,0.0,0.108,0.062,0.016,0.001,0.002,0.365,0.134,0.229,0.084
CTX199807156,5,0.0,0.0,0.099,0.045,0.062,0.001,0.002,0.126,0.177,0.145,0.342
CTX193401762,12,0.0,0.0,0.098,0.006,0.007,0.0,0.0,0.292,0.529,0.019,0.048
CTX193801636,72,0.0,0.0,0.084,0.056,0.014,0.005,0.016,0.412,0.149,0.192,0.072
CTX199805567,337,0.0,0.0,0.071,0.027,0.041,0.001,0.001,0.265,0.156,0.146,0.291
CTX194707363,30,0.0,0.0,0.049,0.044,0.01,0.001,0.002,0.488,0.08,0.245,0.081
CTX193801636,159,0.0,0.0,0.035,0.022,0.022,0.002,0.002,0.357,0.153,0.168,0.238
