FILE,PAGE,CLASS-1,CLASS-2,CLASS-3,CLASS-4,CLASS-5,SCORE-1,SCORE-2,SCORE-3,SCORE-4,SCORE-5
CTX192601320,1,TEXT_HW,LINE_HW,TEXT_T,TEXT,DRAW,0.999,0.0,0.0,0.0,0.0
CTX192901243,1,LINE_HW,TEXT,LINE_P,DRAW,DRAW_L,0.999,0.001,0.0,0.0,0.0
CTX192901243,2,TEXT_HW,TEXT,TEXT_T,LINE_HW,DRAW,1.0,0.0,0.0,0.0,0.0
CTX192901243,3,TEXT_T,PHOTO,TEXT_P,DRAW_L,PHOTO_L,1.0,0.0,0.0,0.0,0.0
CTX192901243,4,DRAW,TEXT_T,DRAW_L,TEXT,TEXT_P,0.992,0.004,0.001,0.001,0.001
CTX193000229,1,LINE_HW,LINE_T,DRAW,TEXT_HW,LINE_P,1.0,0.0,0.0,0.0,0.0
CTX193000229,2,TEXT_HW,TEXT_T,TEXT,DRAW,LINE_HW,0.984,0.014,0.001,0.0,0.0
CTX193000229,3,TEXT_HW,TEXT,DRAW,TEXT_T,PHOTO,1.0,0.0,0.0,0.0,0.0
CTX193102237,1,TEXT_T,LINE_T,PHOTO,DRAW,TEXT_P,1.0,0.0,0.0,0.0,0.0
CTX193102237,2,TEXT,TEXT_T,DRAW,TEXT_HW,LINE_HW,0.999,0.0,0.0,0.0,0.0
CTX193102237,3,LINE_T,PHOTO_L,DRAW,PHOTO,TEXT_T,1.0,0.0,0.0,0.0,0.0
CTX193102237,4,LINE_T,LINE_HW,PHOTO_L,DRAW,PHOTO,1.0,0.0,0.0,0.0,0.0
CTX193102237,5,LINE_T,PHOTO_L,PHOTO,LINE_HW,LINE_P,1.0,0.0,0.0,0.0,0.0
CTX193102237,6,LINE_T,PHOTO_L,PHOTO,LINE_HW,DRAW,1.0,0.0,0.0,0.0,0.0
CTX193102237,7,LINE_T,PHOTO,PHOTO_L,LINE_HW,DRAW,1.0,0.0,0.0,0.0,0.0
CTX193102237,8,LINE_T,PHOTO,PHOTO_L,LINE_P,DRAW,1.0,0.0,0.0,0.0,0.0
CTX193102237,9,LINE_T,PHOTO_L,DRAW,PHOTO,LINE_HW,1.0,0.0,0.0,0.0,0.0
CTX194003463,1,PHOTO,TEXT,PHOTO_L,DRAW,DRAW_L,0.987,0.009,0.004,0.0,0.0
CTX194004617,1,TEXT,PHOTO,DRAW,DRAW_L,PHOTO_L,1.0,0.0,0.0,0.0,0.0
CTX194103705,1,TEXT_HW,TEXT,PHOTO,DRAW,LINE_T,1.0,0.0,0.0,0.0,0.0
CTX194103705,2,DRAW,TEXT,LINE_T,DRAW_L,LINE_HW,1.0,0.0,0.0,0.0,0.0
CTX194103705,3,DRAW,DRAW_L,TEXT,LINE_T,TEXT_T,1.0,0.0,0.0,0.0,0.0
CTX194300428,1,TEXT,PHOTO,DRAW,LINE_HW,LINE_P,1.0,0.0,0.0,0.0,0.0
CTX194401342,1,TEXT,TEXT_T,TEXT_P,PHOTO,DRAW,1.0,0.0,0.0,0.0,0.0
CTX194501522,1,DRAW_L,TEXT,TEXT_P,PHOTO_L,PHOTO,1.0,0.0,0.0,0.0,0.0
CTX194600790,1,LINE_T,DRAW_L,TEXT,PHOTO_L,LINE_P,1.0,0.0,0.0,0.0,0.0
CTX194604301,10,PHOTO,DRAW_L,PHOTO_L,TEXT_T,TEXT,1.0,0.0,0.0,0.0,0.0
