FILE,PAGE,CLASS-1,CLASS-2,CLASS-3,SCORE-1,SCORE-2,SCORE-3
CTX192601320,1,TEXT_HW,LINE_HW,TEXT_T,0.999,0.0,0.0
CTX192901243,1,LINE_HW,TEXT,LINE_P,0.999,0.001,0.0
CTX192901243,2,TEXT_HW,TEXT,TEXT_T,1.0,0.0,0.0
CTX192901243,3,TEXT_T,PHOTO,TEXT_P,1.0,0.0,0.0
CTX192901243,4,DRAW,TEXT_T,DRAW_L,0.994,0.004,0.001
CTX193000229,1,LINE_HW,LINE_T,DRAW,1.0,0.0,0.0
CTX193000229,2,TEXT_HW,TEXT_T,TEXT,0.985,0.014,0.001
CTX193000229,3,TEXT_HW,TEXT,DRAW,1.0,0.0,0.0
CTX193102237,1,TEXT_T,LINE_T,PHOTO,1.0,0.0,0.0
CTX193102237,2,TEXT,TEXT_T,DRAW,0.999,0.0,0.0
CTX193102237,3,LINE_T,PHOTO_L,DRAW,1.0,0.0,0.0
CTX193102237,4,LINE_T,LINE_HW,PHOTO_L,1.0,0.0,0.0
CTX193102237,5,LINE_T,PHOTO_L,PHOTO,1.0,0.0,0.0
CTX193102237,6,LINE_T,PHOTO_L,PHOTO,1.0,0.0,0.0
CTX193102237,7,LINE_T,PHOTO,PHOTO_L,1.0,0.0,0.0
CTX193102237,8,LINE_T,PHOTO,PHOTO_L,1.0,0.0,0.0
CTX193102237,9,LINE_T,PHOTO_L,DRAW,1.0,0.0,0.0
CTX194003463,1,PHOTO,TEXT,PHOTO_L,0.987,0.009,0.004
CTX194004617,1,TEXT,PHOTO,DRAW,1.0,0.0,0.0
CTX194103705,1,TEXT_HW,TEXT,PHOTO,1.0,0.0,0.0
CTX194103705,2,DRAW,TEXT,LINE_T,1.0,0.0,0.0
CTX194103705,3,DRAW,DRAW_L,TEXT,1.0,0.0,0.0
CTX194300428,1,TEXT,PHOTO,DRAW,1.0,0.0,0.0
CTX194401342,1,TEXT,TEXT_T,TEXT_P,1.0,0.0,0.0
CTX194501522,1,DRAW_L,TEXT,TEXT_P,1.0,0.0,0.0
CTX194600790,1,LINE_T,DRAW_L,TEXT,1.0,0.0,0.0
CTX194604301,10,PHOTO,DRAW_L,PHOTO_L,1.0,0.0,0.0
CTX194604301,11,PHOTO,PHOTO_L,TEXT_T,1.0,0.0,0.0
CTX194604301,12,PHOTO,PHOTO_L,DRAW_L,1.0,0.0,0.0
CTX194604301,13,PHOTO,PHOTO_L,DRAW,1.0,0.0,0.0
CTX194604301,14,PHOTO,DRAW_L,TEXT_T,1.0,0.0,0.0
CTX194604301,15,PHOTO,DRAW,PHOTO_L,1.0,0.0,0.0
CTX194604301,16,PHOTO,PHOTO_L,TEXT_HW,1.0,0.0,0.0
CTX194604301,17,PHOTO,LINE_T,PHOTO_L,1.0,0.0,0.0
CTX194604301,18,PHOTO,LINE_T,DRAW_L,1.0,0.0,0.0
CTX194604301,19,PHOTO,PHOTO_L,DRAW,1.0,0.0,0.0
CTX194604301,20,PHOTO,PHOTO_L,TEXT_HW,1.0,0.0,0.0
CTX194604301,21,PHOTO,PHOTO_L,DRAW_L,1.0,0.0,0.0
CTX194604301,22,PHOTO,PHOTO_L,LINE_T,1.0,0.0,0.0
CTX194604301,23,PHOTO,DRAW_L,LINE_T,1.0,0.0,0.0
CTX194604301,24,PHOTO,TEXT,DRAW_L,1.0,0.0,0.0
CTX194604301,25,DRAW,PHOTO,DRAW_L,0.989,0.011,0.0
CTX194604301,26,DRAW_L,LINE_T,PHOTO_L,0.999,0.0,0.0
CTX194604301,27,DRAW,DRAW_L,LINE_T,1.0,0.0,0.0
CTX194604301,28,DRAW_L,LINE_T,LINE_P,1.0,0.0,0.0
CTX194604301,29,LINE_T,PHOTO,PHOTO_L,1.0,0.0,0.0
CTX194604301,30,DRAW_L,PHOTO_L,TEXT_T,1.0,0.0,0.0
CTX194604301,31,LINE_T,PHOTO,PHOTO_L,1.0,0.0,0.0
CTX194604301,32,DRAW,PHOTO,DRAW_L,0.997,0.002,0.0
CTX194604301,33,DRAW_L,PHOTO_L,PHOTO,0.998,0.001,0.0
CTX194604301,34,LINE_T,PHOTO,PHOTO_L,1.0,0.0,0.0
CTX194604301,35,DRAW_L,TEXT_T,PHOTO,1.0,0.0,0.0
CTX194604301,36,LINE_T,PHOTO,PHOTO_L,1.0,0.0,0.0
CTX194604301,37,DRAW_L,LINE_P,DRAW,1.0,0.0,0.0
CTX194604301,38,LINE_T,PHOTO,PHOTO_L,1.0,0.0,0.0
CTX194604301,39,DRAW_L,PHOTO,PHOTO_L,1.0,0.0,0.0
CTX194604301,40,LINE_T,PHOTO,PHOTO_L,1.0,0.0,0.0
CTX194604301,41,DRAW_L,PHOTO_L,DRAW,1.0,0.0,0.0
CTX194604301,42,LINE_T,PHOTO_L,PHOTO,1.0,0.0,0.0
CTX194604301,43,DRAW_L,PHOTO_L,LINE_T,1.0,0.0,0.0
CTX194604301,44,LINE_T,PHOTO,PHOTO_L,1.0,0.0,0.0
CTX194604301,45,DRAW_L,LINE_T,TEXT_T,1.0,0.0,0.0
CTX194604301,46,LINE_T,TEXT_T,PHOTO_L,1.0,0.0,0.0
CTX194604301,47,DRAW_L,PHOTO,TEXT_T,1.0,0.0,0.0
CTX194604301,48,LINE_T,PHOTO,TEXT_T,1.0,0.0,0.0
CTX194604301,49,DRAW_L,TEXT_T,LINE_T,1.0,0.0,0.0
CTX194604301,50,LINE_T,PHOTO,TEXT_T,1.0,0.0,0.0
CTX194604301,51,DRAW_L,DRAW,PHOTO,1.0,0.0,0.0
CTX194604301,52,LINE_T,PHOTO,TEXT_T,1.0,0.0,0.0
CTX194604301,53,DRAW_L,PHOTO,TEXT_T,1.0,0.0,0.0
CTX194604301,54,LINE_T,PHOTO,TEXT_T,1.0,0.0,0.0
