FILE,PAGE,CLASS-1,CLASS-2,CLASS-3,SCORE-1,SCORE-2,SCORE-3
CTX194201336,260,LINE_T,PHOTO_L,TEXT_T,1.0,0.0,0.0
CTX194203019B,6,LINE_T,PHOTO,TEXT_P,1.0,0.0,0.0
CTX194203019B,10,TEXT_T,LINE_T,TEXT_HW,1.0,0.0,0.0
CTX194300888,18,PHOTO_L,TEXT_T,LINE_P,1.0,0.0,0.0
CTX194301332,7,LINE_T,DRAW,PHOTO_L,1.0,0.0,0.0
CTX194301332,47,PHOTO,PHOTO_L,TEXT_T,1.0,0.0,0.0
CTX194501159,1,DRAW_L,TEXT_T,LINE_HW,1.0,0.0,0.0
CTX194501831,1,DRAW_L,LINE_HW,TEXT_T,1.0,0.0,0.0
CTX194501892,1,DRAW_L,DRAW,PHOTO,1.0,0.0,0.0
CTX194502780,1,DRAW_L,LINE_HW,PHOTO_L,1.0,0.0,0.0
CTX194502989,1,DRAW,TEXT,PHOTO_L,1.0,0.0,0.0
CTX194603902,7,DRAW_L,LINE_T,TEXT_T,1.0,0.0,0.0
CTX194603902,24,LINE_T,TEXT_T,TEXT_P,1.0,0.0,0.0
CTX194603967,1,DRAW,TEXT,PHOTO_L,1.0,0.0,0.0
CTX194604274,16,TEXT_HW,LINE_HW,TEXT_T,1.0,0.0,0.0
CTX194606420,1,PHOTO_L,DRAW,LINE_P,1.0,0.0,0.0
CTX194607858,37,LINE_HW,DRAW,TEXT_T,1.0,0.0,0.0
CTX194707363,30,TEXT,TEXT_T,LINE_T,0.994,0.005,0.0
CTX194901219,1,DRAW_L,PHOTO_L,TEXT_T,1.0,0.0,0.0
CTX195100667,117,LINE_T,DRAW,TEXT_T,1.0,0.0,0.0
CTX195100919,1,DRAW_L,DRAW,TEXT_T,1.0,0.0,0.0
CTX195401407,1,PHOTO_L,DRAW_L,LINE_T,1.0,0.0,0.0
CTX195500114,1,LINE_HW,TEXT_HW,LINE_T,1.0,0.0,0.0
CTX195700902,1,PHOTO_L,DRAW,DRAW_L,1.0,0.0,0.0
CTX195701276,1,PHOTO_L,LINE_P,TEXT_T,1.0,0.0,0.0
CTX195705013,73,LINE_HW,TEXT_T,PHOTO,1.0,0.0,0.0
CTX195801326,1,TEXT,DRAW_L,LINE_T,1.0,0.0,0.0
CTX195902663,135,LINE_T,TEXT_T,TEXT_P,1.0,0.0,0.0
CTX195906334,105,TEXT_T,DRAW_L,DRAW,1.0,0.0,0.0
CTX195906334,125,LINE_T,TEXT_HW,TEXT_T,1.0,0.0,0.0
CTX195906334,152,DRAW,TEXT_T,PHOTO_L,1.0,0.0,0.0
CTX196001290,23,LINE_T,PHOTO,DRAW,1.0,0.0,0.0
CTX196306858,246,TEXT,LINE_T,PHOTO_L,1.0,0.0,0.0
CTX196407192,76,LINE_HW,LINE_T,TEXT_P,1.0,0.0,0.0
CTX196504419,1,TEXT_HW,LINE_HW,TEXT,1.0,0.0,0.0
CTX196706503,14,LINE_T,TEXT_T,DRAW,1.0,0.0,0.0
CTX197002153,11,LINE_T,LINE_P,TEXT_P,1.0,0.0,0.0
CTX197005669,57,LINE_T,LINE_P,TEXT_P,1.0,0.0,0.0
CTX197006330,6,TEXT_T,LINE_T,DRAW_L,1.0,0.0,0.0
CTX197305805,15,DRAW_L,PHOTO_L,TEXT_T,1.0,0.0,0.0
CTX197402830,248,LINE_T,DRAW,PHOTO,1.0,0.0,0.0
CTX197403592,3,PHOTO_L,DRAW_L,DRAW,1.0,0.0,0.0
CTX197408817,65,LINE_T,LINE_P,TEXT_P,1.0,0.0,0.0
CTX197408817,247,LINE_T,LINE_P,LINE_HW,1.0,0.0,0.0
CTX197703235,1,TEXT,DRAW_L,DRAW,1.0,0.0,0.0
CTX197704822,1,DRAW,PHOTO,PHOTO_L,1.0,0.0,0.0
CTX197803014,1,TEXT,LINE_T,TEXT_T,1.0,0.0,0.0
CTX198002297,1,DRAW_L,TEXT_HW,LINE_HW,1.0,0.0,0.0
CTX198004861,22,LINE_T,LINE_P,TEXT_P,1.0,0.0,0.0
CTX198100806,2,TEXT,LINE_T,LINE_HW,1.0,0.0,0.0
CTX198100806,21,PHOTO_L,LINE_T,PHOTO,1.0,0.0,0.0
CTX198102153,1,PHOTO_L,DRAW,TEXT_T,1.0,0.0,0.0
CTX198303113,1,TEXT,DRAW_L,TEXT_HW,1.0,0.0,0.0
CTX198703301,1,TEXT,DRAW_L,LINE_T,1.0,0.0,0.0
CTX198801404,1,DRAW_L,TEXT_P,LINE_T,1.0,0.0,0.0
CTX198801502,1,TEXT,LINE_HW,TEXT_P,1.0,0.0,0.0
CTX198901592,246,DRAW,TEXT,TEXT_T,1.0,0.0,0.0
CTX198901592,304,PHOTO,LINE_T,PHOTO_L,1.0,0.0,0.0
CTX198901592,327,LINE_T,PHOTO,DRAW,1.0,0.0,0.0
CTX198901592,391,TEXT,TEXT_T,LINE_T,0.975,0.017,0.007
CTX199104202,1,LINE_T,PHOTO,PHOTO_L,1.0,0.0,0.0
CTX199400628,1,LINE_T,TEXT,LINE_P,1.0,0.0,0.0
CTX199500117,1,TEXT_HW,LINE_P,LINE_HW,1.0,0.0,0.0
CTX199603908,1,LINE_HW,LINE_T,LINE_P,1.0,0.0,0.0
CTX199604924A,69,LINE_P,LINE_HW,TEXT_T,1.0,0.0,0.0
CTX199805567,251,LINE_T,LINE_P,TEXT_HW,1.0,0.0,0.0
CTX199805567,311,TEXT_P,LINE_P,LINE_T,0.763,0.236,0.001
CTX199805567,337,TEXT_P,TEXT_T,LINE_P,1.0,0.0,0.0
CTX199805567,534,LINE_P,TEXT_HW,TEXT_T,1.0,0.0,0.0
CTX199805567,624,DRAW,LINE_T,TEXT_T,1.0,0.0,0.0
CTX199806732,1,LINE_P,LINE_HW,TEXT_HW,1.0,0.0,0.0
CTX199807156,5,TEXT_P,LINE_P,PHOTO,1.0,0.0,0.0
CTX199904249,153,LINE_P,DRAW_L,TEXT_HW,1.0,0.0,0.0
CTX199904249,284,DRAW_L,DRAW,TEXT,0.993,0.006,0.001
CTX199904249,631,LINE_P,PHOTO,DRAW,1.0,0.0,0.0
CTX199908716,1,TEXT,TEXT_P,LINE_T,1.0,0.0,0.0
CTX200409047,1,TEXT,LINE_T,TEXT_T,1.0,0.0,0.0
CTX200905448,1,PHOTO,TEXT_P,DRAW,1.0,0.0,0.0
CTX201001607,15,DRAW,DRAW_L,PHOTO_L,1.0,0.0,0.0
CTX201001607,34,TEXT_P,LINE_P,DRAW,1.0,0.0,0.0
CTX201001607,180,PHOTO,DRAW_L,PHOTO_L,1.0,0.0,0.0
CTX201001607,193,PHOTO,DRAW_L,LINE_P,1.0,0.0,0.0
CTX201004072,26,TEXT_P,LINE_P,TEXT_HW,1.0,0.0,0.0
CTX201004072,53,PHOTO,LINE_HW,LINE_T,1.0,0.0,0.0
CTX201004072,73,LINE_P,LINE_T,TEXT_HW,1.0,0.0,0.0
CTX201004072,85,LINE_P,TEXT,TEXT_HW,1.0,0.0,0.0
CTX201004072,104,TEXT_P,TEXT_T,TEXT_HW,0.999,0.0,0.0
CTX201404706,439,LINE_P,TEXT_P,DRAW,0.999,0.001,0.0
CTX201404706,480,LINE_HW,LINE_P,TEXT_T,1.0,0.0,0.0
CTX201750154,1,LINE_HW,TEXT_HW,TEXT_T,1.0,0.0,0.0
