FILE,PAGE,V1.3,V2.3,V3.3,V4.3,V5.3,CLASS-1,SCORE-1,CLASS-2,SCORE-2,CLASS-3,SCORE-3
CTX196703423D,3,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX196705744,14,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9512,TEXT_P,0.0454,TEXT,0.0034000000000000002
CTX196706503A,122,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9984,DRAW_L,0.0014,TEXT_T,0.0002
CTX196706800,47,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX196801245,189,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX196802470,26,TEXT_T,TEXT,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.8135999999999999,TEXT,0.129,LINE_T,0.056999999999999995
CTX196804887,2,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,1.0,,,,
CTX196806048,30,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
CTX196806061O,31,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX196900279,3,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,0.9945999999999999,TEXT_T,0.005200000000000001,,
CTX196901691C,5,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX196905094C,31,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX196905657,1,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,0.9996,TEXT_T,0.0004,,
CTX197000570,29,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX197001198I,24,DRAW_L,DRAW_L,DRAW,DRAW,DRAW,DRAW,0.6644,DRAW_L,0.3352,TEXT,0.0004
CTX197002609,1,PHOTO_L,DRAW_L,DRAW_L,DRAW_L,PHOTO_L,DRAW_L,0.541,PHOTO_L,0.4582,LINE_T,0.0004
CTX197003464A,11,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
CTX197005261,10,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9994,PHOTO,0.0004,DRAW_L,0.0002
CTX197006009A,21,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
CTX197101430,3,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
CTX197103191,8,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9998000000000001,,,,
CTX197104847G,1,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX197105661H,27,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX197106269C,14,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX197106710,149,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
CTX197200126,3,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9997999999999999,TEXT,0.0002,,
CTX197202928A,9,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9996,DRAW_L,0.0004,,
CTX197203926,1,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,1.0,,,,
CTX197206041,1,LINE_T,LINE_T,LINE_HW,LINE_T,LINE_T,LINE_T,0.6942,LINE_HW,0.2468,TEXT,0.0588
CTX197206949,10,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,0.9996,LINE_P,0.0004,,
CTX197207792,218,LINE_HW,LINE_T,LINE_HW,LINE_P,LINE_HW,LINE_HW,0.4822,LINE_P,0.33819999999999995,LINE_T,0.1792
CTX197300509,1,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,1.0,,,,
CTX197302417,3,TEXT,TEXT,TEXT,TEXT_T,TEXT,TEXT,0.7958000000000001,TEXT_T,0.20339999999999997,LINE_T,0.0008
CTX197303617B,33,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9997999999999999,,,,
CTX197305351,1,DRAW_L,DRAW_L,DRAW_L,DRAW_L,DRAW_L,DRAW_L,0.9997999999999999,PHOTO_L,0.0002,,
CTX197305769,17,DRAW_L,DRAW_L,DRAW_L,DRAW_L,DRAW_L,DRAW_L,0.9994,PHOTO_L,0.0006000000000000001,,
CTX197305899,4,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,1.0,,,,
CTX197306926,1,DRAW_L,DRAW_L,DRAW_L,DRAW_L,DRAW_L,DRAW_L,1.0,,,,
CTX197307319,38,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,0.9968,TEXT_T,0.0018000000000000002,LINE_P,0.0014
CTX197308273,38,LINE_HW,LINE_HW,LINE_HW,LINE_HW,LINE_HW,LINE_HW,0.969,PHOTO_L,0.020999999999999998,DRAW_L,0.009600000000000001
CTX197400353,38,LINE_T,LINE_HW,LINE_T,LINE_T,LINE_T,LINE_T,0.8028000000000001,LINE_HW,0.197,,
CTX197401271,1,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,1.0,,,,
CTX197401672,57,DRAW_L,DRAW_L,DRAW_L,LINE_T,DRAW_L,DRAW_L,0.7994,LINE_T,0.2004,,
CTX197401757B,52,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,0.9982,LINE_HW,0.0016,TEXT,0.0002
CTX197402886,87,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX197403815,110,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9952,TEXT,0.0048000000000000004,,
CTX197406473G,30,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX197408817,18,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9996,TEXT_P,0.0002,,
CTX197501879,4,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9997999999999999,TEXT_P,0.0002,,
CTX197503410,22,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9996,TEXT,0.0004,TEXT_P,0.0002
CTX197504830,1,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,1.0,,,,
CTX197507184,3,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9986,TEXT_P,0.0008,TEXT,0.0002
CTX197508849,80,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
CTX197509472AC,17,DRAW_L,DRAW,DRAW,DRAW,DRAW,DRAW,0.8112,DRAW_L,0.1508,PHOTO,0.023799999999999998
CTX197509472Z,10,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX197600921,2,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9996,TEXT_P,0.0004,,
CTX197601623,1,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,1.0,,,,
CTX197603100,59,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9997999999999999,TEXT,0.0002,,
CTX197603718,3,PHOTO_L,PHOTO_L,PHOTO_L,PHOTO_L,PHOTO_L,PHOTO_L,1.0,,,,
CTX197606544,4,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9994,TEXT,0.0004,,
CTX197607220,27,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9206,DRAW_L,0.0666,LINE_T,0.0082
CTX197700348,35,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX197702386,28,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX197702846D,43,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,0.9964000000000001,LINE_HW,0.0036,,
CTX197704241A,18,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,0.9952,LINE_P,0.0046,DRAW,0.0002
CTX197705626A,45,TEXT_T,TEXT_T,TEXT_P,TEXT_P,TEXT_T,TEXT_T,0.592,TEXT_P,0.4072,TEXT,0.0008
CTX197801147,17,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9986,TEXT_P,0.0012000000000000001,TEXT,0.0002
CTX197802772,99,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9997999999999999,,,,
CTX197804988,88,LINE_T,LINE_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.6164,LINE_T,0.3828,LINE_P,0.0008
CTX197807836,59,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX197900519,9,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9992000000000001,LINE_HW,0.0002,LINE_T,0.0002
CTX197903518,2,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,1.0,,,,
CTX197906302B,10,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX197907845A,1,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,0.9994,TEXT_T,0.0006000000000000001,,
CTX198001408,107,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX198002086A,17,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX198004858,51,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX198005273J,18,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX198006789B,47,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,1.0,,,,
CTX198007146,165,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
CTX198100296,9,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9766,TEXT_P,0.023200000000000002,TEXT,0.0002
CTX198101625,32,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,1.0,,,,
CTX198103076B,14,DRAW,DRAW,DRAW,DRAW,PHOTO,DRAW,0.7182000000000001,PHOTO,0.253,PHOTO_L,0.026000000000000002
CTX198104736,5,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,0.9566000000000001,TEXT_T,0.0432,DRAW,0.0002
CTX198105321A,38,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9204000000000001,TEXT,0.0432,LINE_P,0.030199999999999998
CTX198200323,47,PHOTO_L,PHOTO_L,PHOTO_L,PHOTO_L,PHOTO_L,PHOTO_L,1.0,,,,
CTX198201137,33,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
