FILE,PAGE,V1.3,V2.3,V3.3,V5.3,V4.3,CLASS-1,SCORE-1,CLASS-2,SCORE-2,CLASS-3,SCORE-3
MTX194500371,1,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,0.9564,DRAW,0.043,DRAW_L,0.0006000000000000001
MTX194600414,1,TEXT,TEXT,DRAW,TEXT,TEXT,TEXT,0.8196,DRAW,0.17600000000000002,PHOTO,0.003
MTX194601246,1,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,1.0,,,,
MTX194602237,3,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,0.993,TEXT,0.0048000000000000004,TEXT_T,0.0018
MTX194700001,29,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9586,TEXT_P,0.039,LINE_T,0.0021999999999999997
MTX194700785,1,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,0.9982,DRAW_L,0.0018,,
MTX194701568,2,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,1.0,,,,
MTX194800116,1,LINE_T,DRAW_L,LINE_T,LINE_T,LINE_T,LINE_T,0.8907999999999999,DRAW_L,0.10840000000000001,LINE_HW,0.0008
MTX194800797,1,LINE_T,DRAW_L,LINE_T,LINE_T,LINE_T,LINE_T,0.8009999999999999,DRAW_L,0.1988,LINE_HW,0.0004
MTX194900017,276,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
MTX195000322,5,TEXT_T,TEXT_T,TEXT,TEXT,TEXT_T,TEXT_T,0.7468,TEXT,0.25220000000000004,TEXT_P,0.0012000000000000001
MTX195000880,5,TEXT_P,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.7964,TEXT_P,0.2008,TEXT_HW,0.0018000000000000002
MTX195001226,21,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,1.0,,,,
MTX195100035,32,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9987999999999999,TEXT,0.0008,,
MTX195100601,3,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9942,TEXT,0.0054,TEXT_P,0.0002
MTX195101054,1,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,0.9996,LINE_HW,0.0004,LINE_P,0.0002
MTX195200757,1,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,0.9904,LINE_HW,0.004,TEXT,0.003
MTX195300912,2,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9955999999999999,TEXT,0.0042,LINE_T,0.0002
MTX195400945,23,PHOTO_L,PHOTO_L,PHOTO_L,PHOTO_L,PHOTO_L,PHOTO_L,1.0,,,,
MTX195401664,282,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,0.9968,DRAW,0.0032,,
MTX195500767,1,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,0.9347999999999999,DRAW_L,0.064,LINE_HW,0.0012000000000000001
MTX195600086,37,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
MTX195701080,16,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9986,TEXT_P,0.0006000000000000001,TEXT,0.0004
