x_1	y_1	x_2	y_2	block_type	type	score
688.8081665039062	26.546689987182617	1007.0015258789062	79.75775146484375	rectangle	TextRegion	0.9984397292137146
173.38145446777344	1056.621826171875	1144.822265625	1527.2320556640625	rectangle	TextRegion	0.9972779154777527
197.11207580566406	481.0943908691406	1091.3687744140625	920.3217163085938	rectangle	TextRegion	0.996954083442688
177.73812866210938	157.95892333984375	1112.1796875	350.2419128417969	rectangle	TextRegion	0.9959838390350342
294.2582092285156	314.5475769042969	1076.05224609375	384.8048095703125	rectangle	TextRegion	0.9907535314559937
586.1715698242188	28.233566284179688	644.2911987304688	42.80207443237305	rectangle	TextRegion	0.989339292049408
589.6566162109375	26.633386611938477	623.0180053710938	45.05330276489258	rectangle	TextRegion	0.9886301755905151
1105.1160888671875	59.533203125	1117.668701171875	77.7134780883789	rectangle	ImageRegion	0.9828314781188965
0.0	1678.5718994140625	1025.5350341796875	1685.9998779296875	rectangle	OtherRegion	0.9541053771972656
563.306396484375	32.473411560058594	574.64453125	40.05963134765625	rectangle	ImageRegion	0.9473371505737305
