x_1	y_1	x_2	y_2	block_type	type	score
1035.5751953125	42.23771286010742	1135.26806640625	66.29853820800781	rectangle	TextRegion	0.9999326467514038
344.76202392578125	1449.10009765625	1034.93359375	1523.82177734375	rectangle	TextRegion	0.9998602867126465
358.64703369140625	805.7188110351562	847.439208984375	1369.6441650390625	rectangle	ImageRegion	0.9996393918991089
326.3808898925781	87.00579071044922	894.5535888671875	689.0316162109375	rectangle	ImageRegion	0.9995286464691162
150.15724182128906	691.77001953125	985.6802978515625	763.9407958984375	rectangle	TextRegion	0.9992627501487732
163.4654083251953	1450.3529052734375	465.5693054199219	1526.0302734375	rectangle	TextRegion	0.9970642924308777
921.2899780273438	1297.1075439453125	1022.23193359375	1347.955810546875	rectangle	TextRegion	0.9673444628715515
916.9663696289062	591.6144409179688	1017.2311401367188	645.43310546875	rectangle	TextRegion	0.9188612699508667
174.45387268066406	1446.7279052734375	728.318603515625	1530.7578125	rectangle	TextRegion	0.8937068581581116
314.81298828125	74.37751007080078	413.9575500488281	195.0569305419922	rectangle	ImageRegion	0.851514458656311
