x_1	y_1	x_2	y_2	block_type	type	score
181.72052001953125	250.5631103515625	400.1466064453125	466.218017578125	rectangle	ImageRegion	0.9999713897705078
234.7118377685547	818.6904296875	465.0564880371094	1145.19140625	rectangle	ImageRegion	0.9998527765274048
746.7958984375	244.6088104248047	941.9990234375	503.8688659667969	rectangle	ImageRegion	0.9997205138206482
427.08905029296875	215.84005737304688	689.3994140625	520.2075805664062	rectangle	ImageRegion	0.999565064907074
614.3529052734375	522.9752197265625	950.9072875976562	782.6746826171875	rectangle	ImageRegion	0.9991033673286438
640.5772705078125	1135.2890625	650.787109375	1150.303955078125	rectangle	TextRegion	0.998940646648407
1027.583984375	43.19287872314453	1083.079833984375	61.11270523071289	rectangle	TextRegion	0.99887615442276
336.56512451171875	1465.7672119140625	1034.8763427734375	1526.310546875	rectangle	TextRegion	0.9980769157409668
208.76304626464844	1463.0665283203125	453.04473876953125	1541.403076171875	rectangle	TextRegion	0.9945234060287476
411.7569580078125	1133.6513671875	422.1054382324219	1152.1397705078125	rectangle	TextRegion	0.9934313893318176
206.50379943847656	537.6116333007812	587.8847045898438	766.5279541015625	rectangle	ImageRegion	0.992198646068573
584.6248779296875	843.3264770507812	968.0616455078125	1164.958740234375	rectangle	ImageRegion	0.9887745380401611
1074.3106689453125	743.7244873046875	1123.61181640625	1338.64599609375	rectangle	ImageRegion	0.949068009853363
514.4390869140625	736.0654907226562	525.8695068359375	752.4126586914062	rectangle	TextRegion	0.9456108808517456
903.9164428710938	470.1363220214844	916.6788330078125	488.783935546875	rectangle	TextRegion	0.9455282092094421
1095.2904052734375	43.708229064941406	1107.64208984375	60.91011047363281	rectangle	TextRegion	0.8560816645622253
