x_1	y_1	x_2	y_2	block_type	type	score
1098.1265869140625	603.52978515625	1130.2593994140625	642.6333618164062	rectangle	ImageRegion	0.999859094619751
37.804134368896484	1206.3399658203125	545.62353515625	1247.0325927734375	rectangle	TextRegion	0.9998430013656616
1097.24658203125	1057.3817138671875	1131.1220703125	1097.0570068359375	rectangle	ImageRegion	0.9994478821754456
618.1632080078125	1520.372314453125	790.6182250976562	1536.0975341796875	rectangle	TextRegion	0.9992656111717224
38.82230758666992	763.56396484375	198.11749267578125	781.178955078125	rectangle	TextRegion	0.9981356859207153
63.24934768676758	815.8479614257812	461.82275390625	931.184814453125	rectangle	TextRegion	0.9972912669181824
594.6767578125	762.5612182617188	961.9757690429688	779.5861206054688	rectangle	TextRegion	0.9829913973808289
0.0	1184.445068359375	601.5061645507812	1189.628662109375	rectangle	SeparatorRegion	0.8866729736328125
583.7188720703125	1495.7427978515625	1131.40283203125	1500.6048583984375	rectangle	SeparatorRegion	0.8844220042228699
605.3735961914062	61.267452239990234	1034.7044677734375	85.75924682617188	rectangle	TextRegion	0.8816540837287903
0.019033432006835938	735.2933349609375	1090.841552734375	742.638671875	rectangle	SeparatorRegion	0.8576048612594604
