x_1	y_1	x_2	y_2	block_type	text	id	type	score
154.06985473632812	410.1816711425781	396.0870056152344	559.6135864257812	rectangle	"> 1 sáček se
zlomkem hrn-
čířské čepele
z nezdobeného
střepu hradišt=
ního hrnce
"	0	TextRegion	0.9999490976333618
872.0482177734375	725.9656372070312	1145.5682373046875	923.0413818359376	rectangle	"1 sáč.s Úlomkem
cihly,

1 velký sáček zví-
řecích kostí,

l sáček uhlíků,

l sáček vzorků/kus
Svoru a kus přepá-
lené opuky/
"	1	TextRegion	0.998110055923462
579.485107421875	38.53923416137695	608.6273803710938	57.30784606933594	rectangle		2	TextRegion	0.9979356527328492
139.72540283203125	716.3468627929688	242.84060668945312	740.8595581054688	rectangle	"/1Wm-i
"	3	TextRegion	0.996009349822998
713.6570434570312	739.2864990234375	845.5977172851562	909.855712890625	rectangle	"M7 VL
Stř-
=M1DH
M1DH
DH

střv.
raný

NOV
"	4	TextRegion	0.9959646463394164
345.6563415527344	1013.7135620117188	373.53509521484375	1031.548095703125	rectangle		5	TextRegion	0.994331121444702
138.26979064941406	1165.854736328125	237.3289031982422	1187.7940673828125	rectangle	"/1W-3
"	6	TextRegion	0.9923730492591858
596.14892578125	1565.0274658203125	855.84033203125	1584.24951171875	rectangle	"celkem 7558 střepů
"	7	TextRegion	0.9904887676239014
348.6035461425781	722.6668701171875	374.5718994140625	738.1595458984375	rectangle		8	TextRegion	0.9887887835502625
866.91015625	1346.3760986328125	1128.0750732421875	1410.6279296875	rectangle	"l sáčozvíř, „kostí,
l sáček s úlomkem
mazanice
"	9	TextRegion	0.988149642944336
142.7744903564453	1009.4690551757812	241.4344787597656	1032.3985595703125	rectangle	"/1-112
"	10	TextRegion	0.9862527251243592
138.3710174560547	1337.1346435546875	242.4349670410156	1360.222900390625	rectangle	"1-14
"	11	TextRegion	0.981637954711914
272.0597839355469	1338.8262939453125	316.17169189453125	1358.59521484375	rectangle	"114
"	12	TextRegion	0.979267120361328
881.6835327148438	318.8367004394531	1150.9046630859375	588.3482666015625	rectangle	"1 sáček se zlomkem
pískovcového ro-
tačního brousku,

l sáček s úlomkem
cihlovinové trubky
nebo střešekrytiny,
1 velký sáček se
zvířecími kostmi,
l sáček s uhlíky

l sáček vzorků 76
kamenů, z toho 3
"	13	TextRegion	0.9753212928771972
422.1744384765625	314.17926025390625	517.73828125	430.9754943847656	rectangle	"DVHZ,
její
povrch-
-50cm
"	14	TextRegion	0.9651157855987548
350.03692626953125	318.7630920410156	375.0570373535156	334.7910461425781	rectangle		15	TextRegion	0.957975447177887
869.0385131835938	20.95234680175781	1176.8953857421875	91.62435913085938	rectangle	"znam nálezů! svuda Da-
zona 1974 = str. 15
"	16	TextRegion	0.95460045337677
873.698974609375	1175.1331787109375	886.164306640625	1192.398193359375	rectangle		17	TextRegion	0.9541106820106506
609.9263916015625	931.0379638671876	837.4163208007812	949.7407836914062	rectangle	"eelkem 94 střenů
"	18	TextRegion	0.9212911128997804
756.51171875	1016.5921020507812	769.2538452148438	1035.5220947265625	rectangle		19	TextRegion	0.90909081697464
881.1624755859375	199.96690368652344	982.8050537109376	221.3380126953125	rectangle	"ostatní
"	20	TextRegion	0.8766380548477173
606.4913330078125	1479.724853515625	838.8694458007812	1496.1322021484375	rectangle	"eelkem 41 střený
"	21	TextRegion	0.8760347962379456
276.7339172363281	720.14111328125	316.43292236328125	736.7699584960938	rectangle	"111
"	22	TextRegion	0.8647189140319824
706.8834228515625	1343.118896484375	831.1819458007812	1483.06201171875	rectangle	" 
"	23	TextRegion	0.8580564856529236
656.8880004882812	749.2789916992188	669.6078491210938	766.9533081054688	rectangle		24	TextRegion	0.8373379111289978
541.362548828125	1017.39794921875	628.4868774414062	1034.8348388671875	rectangle	"10 ,st,
"	25	TextRegion	0.8303171396255493
275.0406494140625	1010.6519165039062	313.7436218261719	1029.6856689453125	rectangle		26	TextRegion	0.8276922702789307
342.334716796875	1340.12353515625	371.0574951171875	1356.925048828125	rectangle		27	TextRegion	0.8212238550186157
