model_name,accuracy
ViT-B/16 init,99.1
ViT-B/16 details,99.08
ViT-B/16 extra,99.12
ViT-B/16 gemini,99.1
ViT-B/16 gpt,98.95
ViT-B/16 large,99.1
ViT-B/16 mid,99.12
ViT-B/16 min,98.86
ViT-B/16 short,99.06
ViT-B/16 average,99.06
ViT-B/32 init,98.95
ViT-B/32 extra,98.92
ViT-B/32 gemini,98.94
ViT-B/32 large,98.97
ViT-B/32 mid,98.86
ViT-B/32 average,98.99
ViT-L/14-336px init,98.86
ViT-L/14-336px extra,98.59
ViT-L/14-336px gemini,98.97
ViT-L/14-336px large,98.68
ViT-L/14-336px mid,98.81
ViT-L/14-336px average,98.72
ViT-L/14 init,98.97
ViT-L/14 extra,98.83
ViT-L/14 gemini,98.86
ViT-L/14 large,98.92
ViT-L/14 mid,98.9
ViT-L/14 average,98.81

