IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"Čáslav-Skála 2003
Jméno: N-1016-163;označení objektu/kontextu: sekt. 3206;popis: Jméno: N-1016-164;označení objektu/kontextu: sekt. 3206;popis:
Jméno: N-1016-165;označení objektu/kontextu: sekt. 3206;popis: Jméno: N-1016-166;označení objektu/kontextu: sekt. 3206;popis:
Su
Jméno: N-1016-167;označení objektu/kontextu: sekt. 3206;popis: Jméno: N-1016-168;označení objektu/kontextu: sekt. 3323;popis:
128"	cs	(57, 93)	(1133, 93)	(1133, 1626)	(57, 1626)
image	Čáslav		(388, 93)	(539, 95)	(538, 138)	(387, 136)
image	-		(542, 95)	(556, 95)	(556, 137)	(542, 137)
image	Skála		(559, 95)	(683, 96)	(682, 139)	(558, 138)
image	2003		(697, 97)	(803, 98)	(802, 140)	(697, 139)
image	Jméno		(57, 600)	(112, 600)	(112, 617)	(57, 617)
image	:		(112, 600)	(117, 600)	(117, 617)	(112, 617)
image	N		(122, 600)	(133, 600)	(133, 617)	(122, 617)
image	-		(134, 600)	(140, 600)	(140, 617)	(134, 617)
image	1016-163		(142, 600)	(216, 600)	(216, 617)	(142, 617)
image	;		(217, 600)	(221, 600)	(221, 617)	(217, 617)
image	označení		(222, 600)	(295, 600)	(295, 617)	(222, 617)
image	objektu		(299, 600)	(356, 600)	(356, 618)	(299, 618)
image	/		(356, 601)	(362, 601)	(362, 618)	(356, 618)
image	kontextu		(363, 601)	(429, 601)	(429, 618)	(363, 618)
image	:		(431, 601)	(434, 601)	(434, 618)	(431, 618)
image	sekt		(441, 601)	(473, 601)	(473, 618)	(441, 618)
image	.		(475, 601)	(477, 601)	(477, 618)	(475, 618)
image	3206		(484, 601)	(522, 601)	(522, 618)	(484, 618)
image	;		(523, 601)	(526, 601)	(526, 618)	(523, 618)
image	popis		(529, 601)	(571, 601)	(571, 618)	(529, 618)
image	:		(571, 601)	(577, 601)	(577, 618)	(571, 618)
image	Jméno		(614, 600)	(668, 600)	(668, 617)	(614, 617)
image	:		(669, 600)	(673, 600)	(673, 617)	(669, 617)
image	N		(679, 600)	(690, 600)	(690, 617)	(679, 617)
image	-		(691, 600)	(697, 600)	(697, 617)	(691, 617)
image	1016-164		(698, 600)	(772, 600)	(772, 617)	(698, 617)
image	;		(774, 600)	(778, 600)	(778, 617)	(774, 617)
image	označení		(778, 600)	(851, 600)	(851, 617)	(778, 617)
image	objektu		(856, 600)	(912, 600)	(912, 618)	(856, 618)
image	/		(913, 601)	(919, 601)	(919, 618)	(913, 618)
image	kontextu		(920, 601)	(986, 601)	(986, 618)	(920, 618)
image	:		(988, 601)	(991, 601)	(991, 618)	(988, 618)
image	sekt		(998, 601)	(1030, 601)	(1030, 618)	(998, 618)
image	.		(1032, 601)	(1035, 601)	(1035, 618)	(1032, 618)
image	3206		(1041, 601)	(1079, 601)	(1079, 618)	(1041, 618)
image	;		(1080, 601)	(1084, 601)	(1084, 618)	(1080, 618)
image	popis		(1086, 601)	(1127, 601)	(1127, 618)	(1086, 618)
image	:		(1128, 601)	(1133, 601)	(1133, 618)	(1128, 618)
image	Jméno		(58, 1062)	(112, 1062)	(112, 1079)	(58, 1079)
image	:		(113, 1062)	(118, 1062)	(118, 1079)	(113, 1079)
image	N		(122, 1062)	(133, 1062)	(133, 1079)	(122, 1079)
image	-		(135, 1062)	(141, 1062)	(141, 1079)	(135, 1079)
image	1016-165		(142, 1062)	(217, 1062)	(217, 1079)	(142, 1079)
image	;		(216, 1062)	(220, 1062)	(220, 1079)	(216, 1079)
image	označení		(221, 1062)	(294, 1062)	(294, 1079)	(221, 1079)
image	objektu		(299, 1062)	(355, 1062)	(355, 1080)	(299, 1080)
image	/		(356, 1063)	(363, 1063)	(363, 1080)	(356, 1080)
image	kontextu		(362, 1063)	(429, 1063)	(429, 1080)	(362, 1080)
image	:		(431, 1063)	(434, 1063)	(434, 1080)	(431, 1080)
image	sekt		(440, 1063)	(473, 1063)	(473, 1080)	(440, 1080)
image	.		(475, 1063)	(478, 1063)	(478, 1080)	(475, 1080)
image	3206		(484, 1063)	(522, 1063)	(522, 1080)	(484, 1080)
image	;		(523, 1063)	(526, 1063)	(526, 1080)	(523, 1080)
image	popis		(528, 1063)	(571, 1063)	(571, 1080)	(528, 1080)
image	:		(571, 1063)	(577, 1063)	(577, 1080)	(571, 1080)
image	Jméno		(614, 1063)	(669, 1063)	(669, 1079)	(614, 1079)
image	:		(669, 1063)	(674, 1063)	(674, 1079)	(669, 1079)
image	N		(679, 1063)	(690, 1063)	(690, 1079)	(679, 1079)
image	-		(692, 1063)	(698, 1063)	(698, 1079)	(692, 1079)
image	1016-166		(697, 1063)	(772, 1063)	(772, 1079)	(697, 1079)
image	;		(773, 1063)	(777, 1063)	(777, 1079)	(773, 1079)
image	označení		(778, 1063)	(852, 1063)	(852, 1079)	(778, 1079)
image	objektu		(856, 1064)	(913, 1064)	(913, 1080)	(856, 1080)
image	/		(913, 1064)	(920, 1064)	(920, 1080)	(913, 1080)
image	kontextu		(918, 1064)	(986, 1064)	(986, 1080)	(918, 1080)
image	:		(988, 1064)	(992, 1064)	(992, 1080)	(988, 1080)
image	sekt		(997, 1064)	(1031, 1064)	(1031, 1080)	(997, 1080)
image	.		(1031, 1064)	(1035, 1064)	(1035, 1080)	(1031, 1080)
image	3206		(1040, 1064)	(1079, 1064)	(1079, 1080)	(1040, 1080)
image	;		(1080, 1064)	(1085, 1064)	(1085, 1080)	(1080, 1080)
image	popis		(1085, 1064)	(1127, 1064)	(1127, 1081)	(1085, 1081)
image	:		(1128, 1065)	(1133, 1065)	(1133, 1081)	(1128, 1081)
image	Su		(242, 1224)	(253, 1224)	(253, 1232)	(242, 1232)
image	Jméno		(57, 1525)	(112, 1525)	(112, 1541)	(57, 1541)
image	:		(113, 1525)	(118, 1525)	(118, 1541)	(113, 1541)
image	N		(122, 1525)	(133, 1525)	(133, 1541)	(122, 1541)
image	-		(135, 1525)	(141, 1525)	(141, 1541)	(135, 1541)
image	1016-167		(142, 1525)	(216, 1525)	(216, 1541)	(142, 1541)
image	;		(216, 1525)	(220, 1525)	(220, 1541)	(216, 1541)
image	označení		(221, 1525)	(295, 1525)	(295, 1541)	(221, 1541)
image	objektu		(299, 1525)	(356, 1525)	(356, 1541)	(299, 1541)
image	/		(356, 1525)	(363, 1525)	(363, 1541)	(356, 1541)
image	kontextu		(362, 1525)	(429, 1525)	(429, 1541)	(362, 1541)
image	:		(431, 1525)	(435, 1525)	(435, 1541)	(431, 1541)
image	sekt		(440, 1525)	(474, 1525)	(474, 1541)	(440, 1541)
image	.		(474, 1525)	(478, 1525)	(478, 1541)	(474, 1541)
image	3206		(483, 1525)	(522, 1525)	(522, 1541)	(483, 1541)
image	;		(523, 1525)	(527, 1525)	(527, 1541)	(523, 1541)
image	popis		(529, 1525)	(570, 1525)	(570, 1541)	(529, 1541)
image	:		(571, 1525)	(576, 1525)	(576, 1541)	(571, 1541)
image	Jméno		(614, 1525)	(669, 1525)	(669, 1541)	(614, 1541)
image	:		(669, 1525)	(674, 1525)	(674, 1541)	(669, 1541)
image	N		(679, 1525)	(690, 1525)	(690, 1541)	(679, 1541)
image	-		(691, 1525)	(697, 1525)	(697, 1541)	(691, 1541)
image	1016-168		(698, 1525)	(772, 1525)	(772, 1541)	(698, 1541)
image	;		(774, 1525)	(778, 1525)	(778, 1541)	(774, 1541)
image	označení		(778, 1525)	(852, 1525)	(852, 1541)	(778, 1541)
image	objektu		(856, 1525)	(913, 1525)	(913, 1541)	(856, 1541)
image	/		(913, 1525)	(920, 1525)	(920, 1541)	(913, 1541)
image	kontextu		(919, 1525)	(986, 1525)	(986, 1541)	(919, 1541)
image	:		(988, 1525)	(992, 1525)	(992, 1541)	(988, 1541)
image	sekt		(997, 1525)	(1030, 1525)	(1030, 1541)	(997, 1541)
image	.		(1031, 1525)	(1035, 1525)	(1035, 1541)	(1031, 1541)
image	3323		(1041, 1525)	(1079, 1525)	(1079, 1541)	(1041, 1541)
image	;		(1080, 1525)	(1084, 1525)	(1084, 1541)	(1080, 1541)
image	popis		(1085, 1525)	(1126, 1525)	(1126, 1541)	(1085, 1541)
image	:		(1128, 1525)	(1133, 1525)	(1133, 1541)	(1128, 1541)
image	128		(582, 1614)	(609, 1614)	(609, 1626)	(582, 1626)
