IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"OBĚDOVICE ""Na Požárce"", výzkum 1997
Objekt:
čtverec:
Rozměry:
Výplň:
Datace:
Keramika:
BN/drtidla:
Zv.kosti:
č. sáčků:
Poznámka:
Objekt:
Čtverec:
Rozměry:
Výplň:
Datace:
Keramika:
BN/drtidla:
Zv.kosti:
č. sáčků:
k.j. 093
Poznámka:
288
OBĚDOVICE ""Na Požárce"", výzkum 1997
0,46 x 0,44
šedohnědá, hlinito-písčitá
nedatováno
230
k.j. 094
Přesah do:
288
m
Mazanice:
ŠI:
Uhlíky:
223, 224, 231
Přesah do:
m
Mazanice:
ŠI:
Uhlíky:
A
233
0,46 x 0,54
šedohnědá, hlinito-písčitá s uhlíky
k. popelnicových polí
A
Tabulka: 7
A
Hloubka: 0,12
A
Kov:
Kameny:
Jiné:
Tabulka:
Hloubka: 0,12
7
Kov:
Kameny:
Jiné:
m
m"	cs	(115, 120)	(1044, 120)	(1044, 1428)	(115, 1428)
image	OBĚDOVICE		(119, 120)	(376, 122)	(376, 142)	(119, 140)
image	""""		(427, 123)	(434, 123)	(434, 143)	(427, 143)
image	Na		(438, 123)	(468, 123)	(468, 143)	(438, 143)
image	Požárce		(483, 123)	(583, 123)	(583, 143)	(483, 143)
image	""""		(587, 123)	(594, 123)	(594, 143)	(587, 143)
image	,		(601, 123)	(607, 123)	(607, 143)	(601, 143)
image	výzkum		(627, 123)	(714, 123)	(714, 143)	(627, 143)
image	1997		(729, 123)	(787, 123)	(787, 143)	(729, 143)
image	Objekt		(118, 172)	(209, 172)	(209, 193)	(118, 193)
image	:		(213, 172)	(221, 172)	(221, 193)	(213, 193)
image	čtverec		(118, 216)	(224, 216)	(224, 236)	(118, 236)
image	:		(226, 216)	(235, 216)	(235, 236)	(226, 236)
image	Rozměry		(117, 268)	(225, 268)	(225, 289)	(117, 289)
image	:		(226, 268)	(235, 268)	(235, 289)	(226, 289)
image	Výplň		(117, 316)	(194, 316)	(194, 336)	(117, 336)
image	:		(198, 316)	(206, 316)	(206, 336)	(198, 336)
image	Datace		(118, 365)	(208, 366)	(208, 380)	(118, 379)
image	:		(212, 366)	(219, 366)	(219, 379)	(212, 379)
image	Keramika		(119, 412)	(236, 411)	(236, 426)	(119, 427)
image	:		(240, 412)	(248, 412)	(248, 426)	(240, 426)
image	BN		(120, 458)	(148, 458)	(148, 476)	(120, 476)
image	/		(149, 458)	(162, 458)	(162, 475)	(149, 475)
image	drtidla		(162, 458)	(266, 457)	(266, 474)	(162, 475)
image	:		(269, 458)	(277, 458)	(277, 475)	(269, 475)
image	Zv.kosti		(119, 506)	(236, 505)	(236, 520)	(119, 521)
image	:		(240, 506)	(249, 506)	(249, 520)	(240, 520)
image	č		(119, 573)	(135, 573)	(135, 592)	(119, 592)
image	.		(138, 573)	(145, 573)	(145, 592)	(138, 592)
image	sáčků		(150, 572)	(222, 573)	(222, 593)	(150, 592)
image	:		(227, 574)	(235, 574)	(235, 593)	(227, 593)
image	Poznámka		(119, 650)	(237, 650)	(237, 665)	(119, 665)
image	:		(240, 650)	(249, 650)	(249, 665)	(240, 665)
image	Objekt		(117, 934)	(205, 933)	(205, 953)	(117, 954)
image	:		(208, 934)	(216, 934)	(216, 953)	(208, 953)
