IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"Přír. Číslo Sonda 0,
číslo sáčku
KJ,
+časti
/74-61b 61b
/74-61a 6la 2a destr. 10.st. 0
jižní
podez-
/74-62 62 2b
dívky
kněž.
domu,
90-100
cm
/74-63 63 2b
2a povrch 10.st.
jižní
podez-
dívky
kněž.
domu,
90-100
cm
Datov.
V.3,
60-80/
/90 cm
v.3,
80-90
cm
/74-64 64 2b DVHZ,
90-100
cm
<- 66
3355 střepů z předchozí strany
Obsah
nád. střepy
ostatní
10.st.
celkem 21 střepů;
obr. 15
0
10.st. 0
1 luž.
3
StřDH 1 sáček s uhlíky
2 Stř-
-M1DH
2 M1DH
9. Seznam nálezů: Sonda 2a- 2d
Sezóna 1974 - str. 6
13 DH
r.995 0
6 DH
celkem 9 střepů
1 StřDH
2 Stř-
-MIDH
1 sáček s hrnčířskou
čepelí ze střepu a
zlomkem druhé /nebo
zlomkem polotovaru
přeslenu ze střepu?/,
1 sáček zvíř kostí,
celkem 562 střepů; 1 sáček s uhlíky
1 sáček s 3 ulomky maz.
obr. 26:2
1 sáček vzorků /12
kamenů/,
1 sáček s 3 kusy /2
velké, 1 malý/ želez-
né strusky
6 luž.
39 StřDH
153 Stř-
-M1DH
62 M1DH
302 DH
0
1 sáček zvíř.kostí,
1 StřDH
9 Stř-
1 sáč.se zlomkem žernovu,
1 sáč.se zlomkem kostě-
né brusle,
1 sáč.zvíř.kostí,
1 sáček s uhlíky,
celkem 35 střepů; 1 sáč. vzorků /2 kameny/,
obr. 11
1 sáč.s 2 kusy železné
strusky
Celkem 3982 strepů
-M1DH
12 M1DH
13 DH
1 sáček s uhlíky,
1 sáček vzorků
/2 kameny /
1 sáček s železným
nožíkem"	cs	(139, 17)	(1181, 17)	(1181, 1570)	(139, 1570)
image	Přír		(147, 175)	(206, 176)	(206, 199)	(147, 198)
image	.		(210, 175)	(218, 175)	(218, 198)	(210, 198)
image	Číslo		(237, 175)	(308, 176)	(308, 200)	(237, 199)
image	Sonda		(325, 176)	(398, 177)	(398, 201)	(325, 200)
image	0		(425, 177)	(440, 177)	(440, 200)	(425, 200)
image	,		(444, 178)	(452, 178)	(452, 201)	(444, 201)
image	číslo		(148, 203)	(220, 203)	(220, 222)	(148, 222)
image	sáčku		(237, 203)	(310, 203)	(310, 222)	(237, 222)
image	KJ		(424, 203)	(456, 203)	(456, 226)	(424, 226)
image	,		(458, 203)	(467, 203)	(467, 226)	(458, 226)
image	+		(396, 238)	(411, 238)	(411, 262)	(396, 262)
image	časti		(411, 237)	(483, 236)	(483, 261)	(411, 262)
image	/		(145, 541)	(163, 541)	(163, 563)	(145, 563)
image	74-61b		(162, 541)	(249, 542)	(249, 564)	(162, 563)
image	61b		(263, 541)	(307, 541)	(307, 563)	(263, 563)
image	/		(146, 300)	(163, 300)	(163, 323)	(146, 323)
image	74-61a		(161, 300)	(251, 300)	(251, 323)	(161, 323)
image	6la		(265, 300)	(310, 300)	(310, 323)	(265, 323)
image	2a		(338, 303)	(370, 303)	(370, 320)	(338, 320)
image	destr		(397, 302)	(468, 301)	(468, 321)	(397, 322)
image	.		(472, 301)	(479, 301)	(479, 320)	(472, 320)
image	10.st.		(499, 300)	(584, 299)	(584, 319)	(499, 320)
image	0		(616, 303)	(633, 303)	(633, 321)	(616, 321)
image	jižní		(397, 328)	(470, 326)	(471, 348)	(398, 350)
image	podez		(396, 351)	(467, 351)	(467, 373)	(396, 373)
image	/		(142, 800)	(161, 800)	(161, 823)	(142, 823)
image	74-62		(160, 800)	(234, 800)	(234, 823)	(160, 823)
image	62		(263, 800)	(292, 800)	(292, 823)	(263, 823)
image	2b		(336, 804)	(366, 804)	(366, 821)	(336, 821)
image	dívky		(397, 377)	(470, 377)	(470, 399)	(397, 399)
image	kněž		(395, 397)	(457, 399)	(456, 419)	(394, 417)
image	.		(458, 400)	(466, 400)	(465, 419)	(457, 419)
image	domu		(397, 423)	(455, 425)	(454, 444)	(396, 442)
image	,		(458, 426)	(465, 426)	(464, 444)	(457, 444)
image	90-100		(396, 448)	(482, 447)	(482, 467)	(396, 468)
image	cm		(396, 477)	(425, 478)	(425, 491)	(396, 490)
image	/		(141, 1164)	(160, 1164)	(160, 1187)	(141, 1187)
image	74-63		(158, 1163)	(231, 1164)	(231, 1188)	(158, 1187)
image	63		(260, 1165)	(288, 1165)	(288, 1188)	(260, 1188)
image	2b		(318, 1168)	(347, 1168)	(347, 1185)	(318, 1185)
image	2a		(336, 544)	(369, 545)	(369, 567)	(336, 566)
image	povrch		(395, 544)	(483, 546)	(482, 569)	(395, 567)
image	10.st.		(499, 547)	(584, 549)	(584, 571)	(499, 569)
image	jižní		(396, 569)	(470, 569)	(470, 592)	(396, 592)
image	podez		(394, 596)	(467, 594)	(467, 615)	(394, 617)
image	dívky		(395, 615)	(468, 617)	(467, 642)	(394, 640)
image	kněž		(394, 641)	(453, 643)	(452, 663)	(393, 661)
image	.		(456, 643)	(465, 643)	(464, 662)	(455, 662)
image	domu		(396, 669)	(452, 669)	(452, 688)	(396, 688)
image	,		(457, 669)	(464, 669)	(464, 688)	(457, 688)
image	90-100		(396, 690)	(481, 692)	(480, 711)	(395, 709)
image	cm		(395, 720)	(423, 720)	(423, 733)	(395, 733)
image	Datov		(486, 180)	(561, 182)	(560, 200)	(485, 198)
image	.		(564, 183)	(572, 183)	(571, 200)	(563, 200)
image	V.3		(393, 804)	(439, 805)	(438, 827)	(392, 826)
image	,		(441, 806)	(450, 806)	(449, 827)	(440, 827)
image	60-80		(395, 826)	(467, 826)	(467, 850)	(395, 850)
image	/		(466, 826)	(482, 826)	(482, 850)	(466, 850)
image	/		(392, 850)	(411, 851)	(410, 874)	(391, 873)
image	90		(407, 850)	(439, 851)	(438, 874)	(406, 873)
image	cm		(454, 851)	(485, 852)	(484, 876)	(453, 875)
image	v.3		(376, 1167)	(419, 1168)	(418, 1188)	(375, 1187)
