IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"Přír. Číslo Sonda
číslo sáčku
/74-76 76 2b
/74-77 77 2a
/74-78 78
2a
/74-79 79 2a
/74-81 81 2b
/74-82 82 2a
0,
KJ,
V.
+části
v.3,
na kam.
suti nad
J podez-
dívkou
kně ž.domu
a její de-
strukcí
Datov.
V.3,,
v urovni
1.fáze
69
10.st. 0
v.3, na 10.stol. 0
povrchu
destruk-
ce při J
podezdív-
ce kněž.
domu
10.st.
v.3,
kam.de-
strukce
ve vnitř.
příkopě
Obsah
nád. střepy
podezdívky
kněž.domu
1 luž.
6 StřDH
9 DH
celkem 16 střepů
0
10.st. 0
9
13 DH
celkem 18 střepů
5092 střepů z předchozí strany
v.3,v pá 10.st. 0
su kam.
suti nad
zbytky J
1 luž.
4 StřDH
2 M1DH
18 DH
celkem 32 střepů
v.3, pod 10.st. 0
DVHZ V
příkopě
10 StřDH
2 Stř-
-M1DH
-M1DH
17 M1DH
36 DH
celkem 79 střepů
1 luž.
6 StřDH
19 Stř
4 luž.
14 StřDH
4 Stř
-M1DH
3 M1DH
29 DH
celkem 54 střepů;
obr. 16
Seznam nálezů: Sonda 2a-2d
Sezóna 1974 - str. 9
1 Stř-
-M1DH
celkem 5292 střepů
ostatní
1 sáč.zvíř.kostí,
1 sáček vzorků
/2 kameny/
1 sáč.zvíř kostí,
1 sáč.uhlíků
1 sáč.zvíř.kostí,
1 sáč.s 1 uhlíkem,
1 sáček vzorků
/5 kamenů/
1 sáček s 1 úlom-
kem mazanice,
2 sáč.zvíř.kostí,
2 sáč.uhlíků,
1 sáček vzorků
/1 kus spálené
opuky, 2 zlomky
spálené hlíny/
1 sáč.zvíř.kostí,
1 sáček vzorků
/2 kameny/
O"	cs	(128, 17)	(1194, 17)	(1194, 1622)	(128, 1622)
image	Přír		(130, 171)	(188, 171)	(188, 191)	(130, 191)
image	.		(194, 171)	(201, 171)	(201, 191)	(194, 191)
image	Číslo		(219, 171)	(290, 171)	(290, 191)	(219, 191)
image	Sonda		(307, 171)	(380, 171)	(380, 192)	(307, 192)
image	číslo		(129, 197)	(203, 198)	(203, 216)	(129, 215)
image	sáčku		(220, 198)	(292, 199)	(292, 217)	(220, 216)
image	/		(129, 316)	(147, 316)	(147, 339)	(129, 339)
image	74-76		(146, 316)	(220, 316)	(220, 339)	(146, 339)
image	76		(250, 316)	(278, 316)	(278, 339)	(250, 339)
image	2b		(321, 318)	(352, 318)	(352, 335)	(321, 335)
image	/		(129, 568)	(147, 568)	(147, 593)	(129, 593)
image	74-77		(145, 567)	(219, 568)	(219, 594)	(145, 593)
image	77		(248, 569)	(278, 569)	(278, 594)	(248, 594)
image	2a		(320, 571)	(355, 571)	(355, 589)	(320, 589)
image	/		(128, 798)	(146, 798)	(146, 820)	(128, 820)
image	74-78		(145, 798)	(220, 798)	(220, 820)	(145, 820)
image	78		(250, 798)	(278, 798)	(278, 820)	(250, 820)
image	2a		(321, 800)	(354, 801)	(354, 817)	(321, 816)
image	/		(130, 1016)	(147, 1016)	(147, 1038)	(130, 1038)
image	74-79		(145, 1015)	(220, 1016)	(220, 1039)	(145, 1038)
image	79		(250, 1017)	(278, 1017)	(278, 1039)	(250, 1039)
image	2a		(319, 1018)	(354, 1018)	(354, 1036)	(319, 1036)
image	/		(129, 1269)	(146, 1269)	(146, 1291)	(129, 1291)
image	74-81		(145, 1269)	(220, 1269)	(220, 1291)	(145, 1291)
image	81		(246, 1269)	(281, 1269)	(281, 1291)	(246, 1291)
image	2b		(320, 1270)	(352, 1270)	(352, 1287)	(320, 1287)
image	/		(129, 1495)	(147, 1495)	(147, 1517)	(129, 1517)
image	74-82		(146, 1495)	(217, 1495)	(217, 1517)	(146, 1517)
image	82		(246, 1495)	(276, 1495)	(276, 1517)	(246, 1517)
image	2a		(319, 1498)	(352, 1498)	(352, 1515)	(319, 1515)
image	0		(424, 175)	(440, 175)	(440, 197)	(424, 197)
image	,		(442, 175)	(451, 175)	(451, 197)	(442, 197)
image	KJ		(424, 196)	(456, 201)	(452, 220)	(421, 215)
image	,		(460, 203)	(468, 204)	(465, 222)	(457, 221)
image	V.		(424, 227)	(451, 227)	(451, 240)	(424, 240)
image	+		(411, 247)	(423, 247)	(423, 264)	(411, 264)
image	části		(425, 247)	(497, 247)	(497, 264)	(425, 264)
image	v.3		(408, 318)	(454, 321)	(453, 340)	(407, 337)
image	,		(458, 321)	(467, 322)	(466, 341)	(457, 340)
image	na		(409, 344)	(437, 344)	(437, 362)	(409, 362)
image	kam		(453, 344)	(496, 343)	(496, 360)	(453, 361)
image	.		(501, 343)	(508, 343)	(508, 360)	(501, 360)
image	suti		(411, 368)	(467, 368)	(467, 384)	(411, 384)
image	nad		(483, 368)	(526, 368)	(526, 384)	(483, 384)
image	J		(410, 392)	(426, 392)	(426, 411)	(410, 411)
image	podez		(439, 391)	(511, 392)	(511, 412)	(439, 411)
image	dívkou		(411, 414)	(498, 415)	(498, 434)	(411, 433)
image	kně		(409, 439)	(451, 439)	(451, 457)	(409, 457)
image	ž.domu		(455, 438)	(541, 439)	(541, 458)	(455, 457)
image	a		(410, 465)	(424, 465)	(424, 485)	(410, 485)
image	její		(439, 464)	(495, 463)	(495, 483)	(439, 484)
image	de		(511, 463)	(538, 463)	(538, 483)	(511, 483)
image	strukcí		(411, 488)	(510, 487)	(510, 505)	(411, 506)
image	Datov		(527, 175)	(602, 175)	(602, 190)	(527, 190)
image	.		(605, 175)	(613, 175)	(613, 190)	(605, 190)
image	V.3		(408, 801)	(451, 801)	(451, 826)	(408, 826)
image	,,		(445, 801)	(464, 801)	(464, 825)	(445, 825)
image	v		(410, 829)	(423, 829)	(423, 844)	(410, 844)
image	urovni		(438, 827)	(524, 824)	(524, 840)	(438, 843)
image	1.fáze		(410, 849)	(494, 849)	(494, 866)	(410, 866)
image	69		(613, 32)	(641, 33)	(641, 50)	(613, 49)
image	10.st.		(529, 317)	(614, 318)	(614, 336)	(529, 335)
image	0		(659, 319)	(677, 319)	(677, 335)	(659, 335)
image	v.3		(409, 573)	(451, 572)	(451, 593)	(409, 594)
image	,		(457, 573)	(464, 573)	(464, 593)	(457, 593)
image	na		(482, 572)	(511, 572)	(511, 592)	(482, 592)
