IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"Langugest-hansanlage Tunsbelle 1.
Blick
vom
Südosten."	no	(345, 958)	(1318, 958)	(1318, 1001)	(345, 1001)
image	Langugest		(345, 966)	(460, 964)	(461, 999)	(346, 1001)
image	-		(465, 964)	(479, 964)	(480, 998)	(466, 998)
image	hansanlage		(483, 963)	(600, 961)	(601, 996)	(484, 998)
image	Tunsbelle		(610, 961)	(697, 959)	(698, 993)	(611, 995)
image	1		(695, 959)	(709, 959)	(710, 993)	(696, 993)
image	.		(711, 959)	(723, 959)	(724, 993)	(712, 993)
image	Blick		(1101, 968)	(1151, 967)	(1151, 986)	(1101, 987)
image	vom		(1160, 976)	(1196, 977)	(1196, 987)	(1160, 986)
image	Südosten		(1210, 965)	(1304, 967)	(1304, 987)	(1210, 985)
image	.		(1309, 967)	(1318, 967)	(1318, 986)	(1309, 986)
