IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"Tab. 6
11
č. neg.
51 11la, b
Sonda 2a-2c (1974). Část základu jižní podezdívky budovy orientované
V-Z s destrukčními sutěmi okolo. Na rozhraní sond 2a a 2c JV část
ohniště č. III,podloženého opukovými placáky. Pohled od Z. Foto J. Justová.
12
č. neg.
51 112
Sonda 2a, 2c (1974). JV půle ohniště č. III (podloženého opukovými
placáky) na rozhraní sond 2a a 2c. Pohled od V. Foto J. Justöva."	cs	(157, 46)	(1179, 46)	(1179, 1474)	(157, 1474)
image	Tab		(1016, 48)	(1073, 47)	(1073, 70)	(1016, 71)
image	.		(1074, 47)	(1081, 47)	(1081, 69)	(1074, 69)
image	6		(1097, 47)	(1112, 47)	(1112, 69)	(1097, 69)
image	11		(972, 586)	(1001, 586)	(1001, 603)	(972, 603)
image	č		(942, 616)	(957, 617)	(956, 636)	(941, 635)
image	.		(959, 617)	(968, 618)	(967, 637)	(958, 636)
image	neg		(986, 618)	(1029, 621)	(1028, 640)	(985, 637)
image	.		(1033, 622)	(1041, 623)	(1040, 641)	(1032, 641)
image	51		(942, 641)	(973, 641)	(973, 663)	(942, 663)
image	11la		(986, 641)	(1046, 641)	(1046, 663)	(986, 663)
image	,		(1048, 641)	(1054, 641)	(1054, 663)	(1048, 663)
image	b		(1072, 641)	(1087, 641)	(1087, 663)	(1072, 663)
image	Sonda		(159, 683)	(235, 683)	(235, 710)	(159, 710)
image	2a		(248, 683)	(279, 683)	(279, 710)	(248, 710)
image	-		(278, 683)	(292, 683)	(292, 710)	(278, 710)
image	2c		(293, 683)	(321, 683)	(321, 710)	(293, 710)
image	(		(338, 683)	(350, 683)	(350, 710)	(338, 710)
image	1974		(352, 683)	(408, 683)	(408, 710)	(352, 710)
image	)		(412, 683)	(422, 683)	(422, 710)	(412, 710)
image	.		(429, 683)	(435, 683)	(435, 710)	(429, 710)
image	Část		(455, 683)	(512, 683)	(512, 710)	(455, 710)
image	základu		(530, 683)	(631, 683)	(631, 710)	(530, 710)
image	jižní		(648, 683)	(718, 683)	(718, 710)	(648, 710)
image	podezdívky		(735, 683)	(882, 683)	(882, 710)	(735, 710)
image	budovy		(897, 683)	(987, 683)	(987, 710)	(897, 710)
image	orientované		(1001, 683)	(1161, 683)	(1161, 710)	(1001, 710)
image	V		(157, 715)	(173, 715)	(173, 731)	(157, 731)
image	-		(172, 714)	(187, 714)	(187, 730)	(172, 730)
image	Z		(188, 714)	(202, 714)	(202, 730)	(188, 730)
image	s		(236, 713)	(249, 713)	(249, 732)	(236, 732)
image	destrukčními		(264, 713)	(439, 713)	(439, 732)	(264, 732)
image	sutěmi		(457, 713)	(543, 713)	(543, 732)	(457, 732)
image	okolo		(559, 713)	(631, 713)	(631, 732)	(559, 732)
image	.		(637, 713)	(643, 713)	(643, 732)	(637, 732)
image	Na		(659, 713)	(691, 713)	(691, 732)	(659, 732)
image	rozhraní		(707, 713)	(821, 713)	(821, 732)	(707, 732)
