IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"0313 lomového zdivo, kameny, balvany, pojivo - tuhý žlutý a šedý jíl
10"	cs	(141, 143)	(1048, 143)	(1048, 1608)	(141, 1608)
image	0313		(141, 144)	(188, 144)	(188, 168)	(141, 168)
image	lomového		(195, 144)	(291, 144)	(291, 168)	(195, 168)
image	zdivo		(298, 144)	(351, 144)	(351, 168)	(298, 168)
image	,		(352, 144)	(356, 144)	(356, 168)	(352, 168)
image	kameny		(369, 144)	(445, 144)	(445, 169)	(369, 169)
image	,		(446, 145)	(450, 145)	(450, 169)	(446, 169)
image	balvany		(457, 145)	(533, 145)	(533, 169)	(457, 169)
image	,		(534, 145)	(538, 145)	(538, 169)	(534, 169)
image	pojivo		(544, 145)	(606, 145)	(606, 169)	(544, 169)
image	-		(613, 146)	(620, 146)	(620, 170)	(613, 170)
image	tuhý		(626, 146)	(668, 146)	(668, 170)	(626, 170)
image	žlutý		(674, 146)	(722, 146)	(722, 170)	(674, 170)
image	a		(730, 146)	(740, 146)	(740, 170)	(730, 170)
image	šedý		(746, 146)	(789, 146)	(789, 170)	(746, 170)
image	jíl		(794, 146)	(816, 146)	(816, 170)	(794, 170)
image	10		(1030, 1594)	(1048, 1594)	(1048, 1608)	(1030, 1608)
