IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"5.2. Fotografická dokumentace
Tab. XXXIII:1
Tab. XXXIII:2"	cs	(456, 121)	(1072, 121)	(1072, 1635)	(456, 1635)
image	5.2		(456, 1616)	(483, 1616)	(483, 1635)	(456, 1635)
image	.		(485, 1616)	(489, 1616)	(489, 1634)	(485, 1634)
image	Fotografická		(495, 1616)	(607, 1615)	(607, 1634)	(495, 1635)
image	dokumentace		(614, 1615)	(732, 1614)	(732, 1633)	(614, 1634)
image	Tab		(931, 121)	(968, 121)	(968, 136)	(931, 136)
image	.		(969, 121)	(973, 121)	(973, 136)	(969, 136)
image	XXXIII		(979, 121)	(1053, 121)	(1053, 136)	(979, 136)
image	:		(1055, 121)	(1059, 121)	(1059, 136)	(1055, 136)
image	1		(1062, 121)	(1069, 121)	(1069, 136)	(1062, 136)
image	Tab		(931, 818)	(968, 818)	(968, 833)	(931, 833)
image	.		(969, 818)	(973, 818)	(973, 833)	(969, 833)
image	XXXIII		(980, 818)	(1053, 818)	(1053, 833)	(980, 833)
image	:		(1054, 818)	(1060, 818)	(1060, 833)	(1054, 833)
image	2		(1060, 818)	(1072, 818)	(1072, 833)	(1060, 833)
