IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"1828...
1929.
1930.
1931.
1932.
1933.
1934.
1935.
1936.
1937.
1938...
....127.517.65 Kč
..105.083.25
87.306.75
71.027.40
41.728.95
19.800.--
3.000.--
18.340.--
11.800.--
5.040.--
8.360.--
Na r.1924.první rok výzkumu, opatřeny prostředky finanční
jednak subvencemi, poskytnutými Ministerstvem školství a nár.osvěty
v částce 35.000.--Kč a Ministerstvem veřejných prací v částce
10.000.-Kč, jednak podporami, získanými péčí Komise pro výzkum
Vyšehradu v částce 79.188.0 Kč, poskytnutými: Presidentem repu-
bliky 25.000.--Kč, obcí Pražskou 25.000.--Kč, Historickou sekcí
Archeologické komise při české akademii 1.000.--Kč, Živnostenskou
bankou 20.000.--Kč. Na vstupném při prohlídkách výzkumu vybráno
6.449.--Kč, při propagačních přednáškách 1.362.60 Kč.
V dalších létech, až do r.1938, potřebné prostředky na výzkum
poskytli: Ministerstvo školství a nár.osvěty, Ministerstvo veřejných
prací, Kancelář presidenta republiky a obec Pražská.
K propagaci výzkumu Vyšehradu uspořádala Komise pro výzkum
Vyšehradu cyklus přednášek se světelnými obrazy v přednáškové síni
přírodovědeckého ústavu university na Albertově s tímto pořadem:
26.listopadu 1924 Msg.E. Šittler: Historický vývoj Vyšehradu.
3. prosince 1924: Msg.E.Šittler: Staré vyobrazení Vyšehradu a jeho
do dnes zachované památky.
10. prosince 1924 K.Buchtela: Česká hradiště a jejich kultura.
17. prosince 1924 Dr.K. Guth: Výkopy na Vyšehradě r.1924.
21. prosince 1924 Dr.Z.Wirth: Pevnost Vyšehrad.
Zájem širší veřejnosti značně vzbuzen pořádáním prohlídek
výzkumu Vyšehradu s odborným výkladem členů komise a v posledních
létech výzkumu zejména otevřením musea vyšehradských vykopávek
v budově nad Libušinou lázní a lapidaria v kostelíku sv. Jana Stětí,
románské basiliky i ostatních, výzkumem odkrytých památek.
Každoročně pozváni též kprohlídkám výzkumu zástupci intereso-
vaných úřadů a korporací a zástupci pražských redakcí.
Komise přistoupila k návrhu univ.prof.Dr.Stockého /ve schůzích
dne 6.a 20.června 1930 / též k projednání otázky publikování výsledků
výzkumu a schválila následující pořad:
I. Přehled dějin Vyšehradu / msg.šittler /
II. Prehistorie Vyšehradu / prof.Stocký a Dr.Müller /
III.Kaple sv. Martina / Dr.Guth /
IV. Románská basilika / Dr. Guth /
Úmrtím msg.Šittlera a později i prof. Stockého, Dr.Gutha i dalších
členů komise žpůsobeno, že k vydání chystaných publikací nedošlo.
Z popudu Komise pro výzkum Vyšehradu a za jejího přispění byly
provedeny obcí Pražskou četné konservační práce i stavební úpravy,
z nichž dlužno zejména jmenovati::
Konservace a oprava zdiva t.zv.Libušiny lázně,
Konservace a vnitřní opravy v kapli sv. Martina /též odstranění
jízdy těžkými povozy, zavedení jednosměrné jízdy Vyšehradem a
zřízení od kaple odisolované tiché asfaltové vozovky /
Zřízení betonového krytu nad románskou basilikou u čp.14.
Konservace zdiva a betonový kryt nad románským mostem pod štul-
covou ulicí,"	cs	(137, 103)	(1148, 103)	(1148, 1609)	(137, 1609)
image	1828		(382, 103)	(438, 106)	(437, 124)	(381, 121)
image	...		(442, 106)	(478, 108)	(477, 126)	(441, 124)
image	1929		(381, 130)	(438, 130)	(438, 146)	(381, 146)
image	.		(442, 130)	(448, 130)	(448, 146)	(442, 146)
image	1930		(382, 154)	(439, 155)	(439, 172)	(382, 171)
image	.		(442, 156)	(449, 156)	(449, 172)	(442, 172)
image	1931		(381, 177)	(440, 178)	(440, 196)	(381, 195)
image	.		(443, 179)	(450, 179)	(450, 196)	(443, 196)
image	1932		(382, 202)	(439, 203)	(439, 219)	(382, 218)
