IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"Čáslav - Skála 2003
3332/03
3
4
3333/03
3
5
3 334/03
3
PŘÍR Č
7
3336/03
3
E
3 337/03
3
S
3 338/03
4
C
3339/03
4
€
3 335/03 Čáslav - Skála -
3
komunikace
1
3340/03
4
2
3 341/03
3
3342/03
€
AKCE
Čáslav - Skála -
komunikace
3345/03
4
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
4
3 343/03 Čáslav - Skála -
2
komunikace
5
3 344/03
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
DATUM KONTEXT SEKT ČÁST MECH_V
OR
RS
18.7.2003
18.7.2003
13.8.2003
16.7.2003
16.7.2003
16.7.2003
16.7.2003
13.8.2003
17.7.2003
17.7.2003
17.7.2003
17.7.2003
17.7.2003
17.7.2003
2404
2404
2404
seznam sáčků
2406
2406
2406
2406
2406
2416
2416
2416
2416
2416
2416
0-20
0-20
10 - 20
0-20
0-20
20 - 40
20-40
40-50
0-10
0-20
0-20
0-20
0-20
0-20
OBSAH
Ke, Ma, Ko,bronz
Ke, Ma, Ko, Ka
Ke
Ke, Ma, Ko, Kal
Ke, Ma, Ko, Dt, Bi
Ke, Ma
Ke, Ma, Ko, U,Ka
Ke, Ma, Ko
Ke,Ma,Ko,U,Ka
Ke,Ko, Ka
Ke, Ma, Ko
Ke, Ma, Ko, Ka
Ke, Ma, Ko, Ka
Ke, Ma,ko,Ka
37
Ke
ano
ano
Ma Ko
ano ano ano ne
ano
ne
ano ano
اے
ano ano
ano
U
ano ano ano ne
ano ne
ano ano ano ne
ne ne
ne ne
ano ano ano ne
ano ano ano ne
ano ano ano
ano ano ano ne
ŠI
ne
ne
ano ano ano ne
ano an ne ne
O
ano ano ano an ne
0
ne ne
ne ne
ne ano ne ne
ne ne
ne ano
BI
ne ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne ne
ΚΙ
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
BR
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
Dto mlýn KA bron
ne
ne
ne
ano
ne
ne ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne ano
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ano
ne
ne
ano
ne
ano
ano
ne
ne ano
ne ano
ne ano
N
ano
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
Fe Str jiné
ne ne
ne ne
ne ne
ne ne
ne ne
ne ne
ne ne
ne ne
ne ne
ne ne
ne ne
ne ne
ne ne
ne ne
POZNAMKA
kolečko?
nožka
miska na nožce
INV_CI
SLO"	und	(142, 73)	(1568, 73)	(1568, 1167)	(142, 1167)
image	Čáslav		(142, 73)	(198, 74)	(198, 92)	(142, 91)
image	-		(202, 75)	(213, 75)	(213, 92)	(202, 92)
image	Skála		(219, 75)	(265, 76)	(265, 93)	(219, 92)
image	2003		(270, 76)	(314, 77)	(314, 94)	(270, 93)
image	3332/03		(145, 259)	(201, 259)	(201, 274)	(145, 274)
image	3		(145, 281)	(152, 281)	(152, 291)	(145, 291)
image	4		(145, 300)	(152, 300)	(152, 309)	(145, 309)
image	3333/03		(145, 319)	(201, 318)	(201, 332)	(145, 333)
image	3		(145, 341)	(152, 341)	(152, 351)	(145, 351)
