IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"Objekt I I:
16-
Nálezová situace (tj. sáček) číslo:
100/74: ""Sonda 2c, 0 II, úroveň rozpoznání (= povrch kam. destrukce
hradby pod vrstvou ornice) dno. 22. - 24.7.""
Popis objektu II:
1) umístění v ploše výzkumu:
v jižním rohu a při JZ stěně sondy 2c;
2) podloží:
DVHZ;
3) druh:
polozemnice ?? ( pravoúhlá část objektu, nesouběžná však se
sousedním objektem I; stěny objektu II jsou v jeho SV nároží
svislé, v JV části objektu II však je stěna šikmá);
4) superpozice:
objekt II byl zahlouben do vrchní části DVHZ. Jeho zásyp,
odlišený na povrchu DVHZ, byl spolu s okolní DVHZ překryt
ornici/drnem;
5) tvar:
část objektu II, která zasahuje do sondy 2c, má skoro pravo-
úhlý půdorys. SSZ stěna je svislá, VSV stěna je ve své SSZ
části svislá, avšak při svém JJV úseku je sešikmená s náznakem
stupínku;
6) rozměry:
půdorys části objektu II v sondě 2c byl cca 2,6 x 2,15 m,
hloubka při JZ stěně sondy cca 54-74 cm pod dnešním povrchem
a cca 19-39 cm pod povrchem DVHZ (tj. od úrovně zjištění
objektu II);
7) výplň:
hnědošedá hlína, promíšená spálenými i nespálenými úlomky opuky
(tj. vrstva 2);
8) kůly: nezjištěny;
9) způsob zkoumání objektu II:
odlišný zásyp objektu II byl vyzvednut najednou (srv. výše
popis nálezové situace 100/74);"	cs	(148, 64)	(1143, 64)	(1143, 1550)	(148, 1550)
image	Objekt		(148, 158)	(311, 157)	(311, 178)	(148, 179)
image	I		(345, 159)	(357, 159)	(357, 175)	(345, 175)
image	I		(373, 159)	(386, 159)	(386, 175)	(373, 175)
image	:		(393, 159)	(400, 159)	(400, 175)	(393, 175)
image	16		(520, 64)	(549, 64)	(549, 78)	(520, 78)
image	Nálezová		(151, 240)	(267, 241)	(267, 263)	(151, 262)
image	situace		(286, 240)	(387, 240)	(387, 263)	(286, 263)
image	(		(404, 241)	(413, 241)	(413, 263)	(404, 263)
image	tj		(418, 241)	(442, 241)	(442, 263)	(418, 263)
image	.		(450, 241)	(456, 241)	(456, 263)	(450, 263)
image	sáček		(477, 241)	(547, 241)	(547, 263)	(477, 263)
image	)		(554, 241)	(560, 241)	(560, 263)	(554, 263)
image	číslo		(581, 241)	(653, 241)	(653, 264)	(581, 264)
image	:		(659, 242)	(667, 242)	(667, 264)	(659, 264)
image	100/74		(149, 288)	(240, 288)	(240, 312)	(149, 312)
image	:		(244, 288)	(253, 288)	(253, 312)	(244, 312)
image	""""		(271, 288)	(281, 288)	(281, 312)	(271, 312)
image	Sonda		(284, 288)	(354, 288)	(354, 312)	(284, 312)
image	2c		(372, 288)	(400, 288)	(400, 312)	(372, 312)
image	,		(407, 288)	(412, 288)	(412, 312)	(407, 312)
image	0		(432, 288)	(445, 288)	(445, 312)	(432, 312)
image	II		(463, 288)	(488, 288)	(488, 312)	(463, 312)
image	,		(495, 288)	(501, 288)	(501, 312)	(495, 312)
image	úroveň		(522, 288)	(607, 288)	(607, 312)	(522, 312)
image	rozpoznání		(627, 288)	(771, 288)	(771, 312)	(627, 312)
image	(		(790, 288)	(799, 288)	(799, 312)	(790, 312)
image	=		(803, 288)	(816, 288)	(816, 312)	(803, 312)
image	povrch		(833, 288)	(919, 288)	(919, 312)	(833, 312)
image	kam		(936, 288)	(978, 288)	(978, 312)	(936, 312)
image	.		(983, 288)	(989, 288)	(989, 312)	(983, 312)
image	destrukce		(1010, 288)	(1142, 288)	(1142, 312)	(1010, 312)
image	hradby		(270, 313)	(356, 313)	(356, 334)	(270, 334)
image	pod		(373, 313)	(416, 313)	(416, 334)	(373, 334)
image	vrstvou		(431, 313)	(532, 313)	(532, 334)	(431, 334)
image	ornice		(552, 313)	(637, 313)	(637, 334)	(552, 334)
image	)		(641, 313)	(650, 313)	(650, 334)	(641, 334)
image	dno		(699, 315)	(741, 315)	(741, 331)	(699, 331)
image	.		(746, 315)	(754, 315)	(754, 331)	(746, 331)
image	22.		(772, 315)	(814, 315)	(814, 331)	(772, 331)
image	-		(833, 315)	(847, 315)	(847, 331)	(833, 331)
image	24.7		(861, 315)	(920, 315)	(920, 331)	(861, 331)
image	.		(922, 315)	(930, 315)	(930, 331)	(922, 331)
image	""""		(936, 315)	(948, 315)	(948, 331)	(936, 331)
image	Popis		(150, 384)	(221, 384)	(221, 407)	(150, 407)
image	objektu		(240, 383)	(339, 382)	(339, 405)	(240, 406)
image	II		(358, 383)	(385, 383)	(385, 405)	(358, 405)
image	:		(391, 383)	(399, 383)	(399, 405)	(391, 405)
image	1		(166, 432)	(179, 432)	(179, 452)	(166, 452)
image	)		(181, 432)	(190, 432)	(190, 452)	(181, 452)
image	umístění		(211, 432)	(327, 433)	(327, 453)	(211, 452)
image	v		(343, 433)	(356, 433)	(356, 453)	(343, 453)
image	ploše		(373, 433)	(444, 434)	(444, 455)	(373, 454)
image	výzkumu		(461, 434)	(564, 435)	(564, 456)	(461, 455)
image	:		(570, 436)	(578, 436)	(578, 456)	(570, 456)
image	v		(209, 469)	(224, 469)	(224, 491)	(209, 491)
image	jižním		(240, 469)	(327, 469)	(327, 491)	(240, 491)
image	rohu		(346, 469)	(399, 469)	(399, 491)	(346, 491)
image	a		(417, 469)	(427, 469)	(427, 491)	(417, 491)
image	při		(447, 469)	(488, 469)	(488, 491)	(447, 491)
image	JZ		(505, 469)	(534, 469)	(534, 491)	(505, 491)
image	stěně		(551, 469)	(622, 469)	(622, 491)	(551, 491)
image	sondy		(640, 469)	(713, 469)	(713, 491)	(640, 491)
image	2c		(727, 469)	(758, 469)	(758, 491)	(727, 491)
image	;		(762, 469)	(771, 469)	(771, 491)	(762, 491)
image	2		(164, 516)	(178, 516)	(178, 536)	(164, 536)
image	)		(182, 516)	(192, 516)	(192, 536)	(182, 536)
image	podloží		(210, 515)	(312, 516)	(312, 537)	(210, 536)
image	:		(318, 517)	(326, 517)	(326, 537)	(318, 537)
image	DVHZ		(210, 552)	(270, 554)	(269, 572)	(209, 570)
image	;		(273, 555)	(282, 555)	(281, 572)	(272, 572)
image	3		(166, 601)	(180, 601)	(180, 620)	(166, 620)
image	)		(180, 600)	(191, 600)	(191, 619)	(180, 619)
image	druh		(208, 600)	(266, 600)	(266, 619)	(208, 619)
image	:		(272, 600)	(281, 600)	(281, 619)	(272, 619)
image	polozemnice		(210, 636)	(372, 636)	(372, 659)	(210, 659)
image	??		(388, 636)	(414, 636)	(414, 659)	(388, 659)
image	(		(433, 636)	(443, 636)	(443, 659)	(433, 659)
image	pravoúhlá		(461, 636)	(592, 636)	(592, 659)	(461, 659)
image	část		(610, 636)	(664, 636)	(664, 659)	(610, 659)
image	objektu		(683, 636)	(784, 636)	(784, 659)	(683, 659)
image	,		(792, 636)	(797, 636)	(797, 659)	(792, 659)
image	nesouběžná		(819, 636)	(961, 636)	(961, 659)	(819, 659)
image	však		(977, 636)	(1036, 636)	(1036, 659)	(977, 659)
image	se		(1054, 636)	(1083, 636)	(1083, 659)	(1054, 659)
image	sousedním		(211, 673)	(340, 673)	(340, 696)	(211, 696)
image	objektem		(356, 673)	(472, 673)	(472, 696)	(356, 696)
image	I		(493, 673)	(503, 673)	(503, 696)	(493, 696)
image	;		(510, 673)	(516, 673)	(516, 696)	(510, 696)
image	stěny		(535, 673)	(607, 673)	(607, 696)	(535, 696)
image	objektu		(624, 673)	(725, 673)	(725, 696)	(624, 696)
image	II		(744, 673)	(770, 673)	(770, 696)	(744, 696)
image	jsou		(787, 673)	(844, 673)	(844, 696)	(787, 696)
image	v		(860, 673)	(873, 673)	(873, 696)	(860, 696)
image	jeho		(891, 673)	(947, 673)	(947, 696)	(891, 696)
image	SV		(964, 673)	(992, 673)	(992, 696)	(964, 696)
image	nároží		(1010, 673)	(1096, 673)	(1096, 696)	(1010, 696)
image	svislé		(211, 708)	(299, 708)	(299, 731)	(211, 731)
image	,		(303, 708)	(310, 708)	(310, 731)	(303, 731)
image	v		(327, 708)	(340, 708)	(340, 731)	(327, 731)
image	JV		(356, 708)	(387, 708)	(387, 731)	(356, 731)
image	části		(403, 708)	(473, 708)	(473, 731)	(403, 731)
image	objektu		(491, 708)	(591, 708)	(591, 731)	(491, 731)
image	II		(610, 708)	(635, 708)	(635, 731)	(610, 731)
image	však		(652, 708)	(709, 708)	(709, 731)	(652, 731)
image	je		(729, 708)	(755, 708)	(755, 731)	(729, 731)
image	stěna		(772, 708)	(843, 708)	(843, 731)	(772, 731)
image	šikmá		(862, 708)	(931, 708)	(931, 731)	(862, 731)
image	)		(936, 708)	(945, 708)	(945, 731)	(936, 731)
image	;		(952, 708)	(960, 708)	(960, 731)	(952, 731)
image	4		(164, 757)	(179, 757)	(179, 777)	(164, 777)
image	)		(182, 757)	(191, 757)	(191, 777)	(182, 777)
image	superpozice		(212, 757)	(371, 759)	(371, 779)	(212, 777)
image	:		(377, 759)	(385, 759)	(385, 779)	(377, 779)
image	objekt		(211, 792)	(296, 792)	(296, 813)	(211, 813)
image	II		(316, 792)	(340, 792)	(340, 813)	(316, 813)
image	byl		(357, 792)	(398, 792)	(398, 813)	(357, 813)
image	zahlouben		(416, 792)	(546, 793)	(546, 815)	(416, 814)
image	do		(564, 793)	(592, 793)	(592, 814)	(564, 814)
image	vrchní		(609, 793)	(695, 793)	(695, 814)	(609, 814)
image	části		(713, 793)	(784, 793)	(784, 815)	(713, 815)
image	DVHZ		(803, 794)	(859, 794)	(859, 815)	(803, 815)
image	.		(865, 794)	(870, 794)	(870, 815)	(865, 815)
image	Jeho		(890, 794)	(946, 794)	(946, 815)	(890, 815)
image	zásyp		(964, 794)	(1038, 794)	(1038, 816)	(964, 816)
image	,		(1043, 795)	(1051, 795)	(1051, 816)	(1043, 816)
image	odlišený		(211, 828)	(326, 828)	(326, 851)	(211, 851)
image	na		(344, 828)	(369, 828)	(369, 851)	(344, 851)
image	povrchu		(388, 828)	(487, 828)	(487, 851)	(388, 851)
image	DVHZ		(505, 828)	(563, 828)	(563, 851)	(505, 851)
image	,		(570, 828)	(575, 828)	(575, 851)	(570, 851)
image	byl		(595, 828)	(635, 828)	(635, 851)	(595, 851)
image	spolu		(655, 828)	(725, 828)	(725, 851)	(655, 851)
image	s		(744, 828)	(754, 828)	(754, 851)	(744, 851)
image	okolní		(772, 828)	(858, 828)	(858, 851)	(772, 851)
image	DVHZ		(875, 828)	(933, 828)	(933, 851)	(875, 851)
image	překryt		(949, 828)	(1052, 828)	(1052, 851)	(949, 851)
