IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"vrstva, objekt
Na následujících obrázcích č. 6 - 26 předvádím ukázky
charakteristických keramických nálezů z některých signifikant-
ních celků. Zprvu zde shrnuji náplň obrázků č. 6
objekt I (po r. 995)
objekt II (po r. 995)
101 -
DVHZ (28.9.995)
vrstva 3 (10.stol., možná
kolem r. 995)
vrstva 3 (10.stol., brzy
po zániku pravdě
podobného kněž-
ského domu
vrstva 3 (10.stol., doba zá-
niku pravděpodob-
ného kněžského
domu)
a komentáře
Texty k obrázkům s nálezy
Sonda 2a 2d (1974) - str. 2
nálezové situace
vrstva 3 (10.stol., doba exis-
tence pravděpodobné-
ho kněžského domu)
101/74
106/74
100/74
58/74
60/74
64/74
65/74
62/74
49/74
61a/74
81/74
99/74
102/74
109/74
126/74
130/74
133/74
PR
26 v tabulce:
obr. č.
6
7-8
9
10
26:4
11
12
26:3
26:2
14
15
16
17
19
CO
10
26:1
23
24
13,
21 22
-
18
20
25"	cs	(187, 1)	(1129, 1)	(1129, 1509)	(187, 1509)
image	vrstva		(187, 357)	(275, 356)	(275, 380)	(187, 381)
image	,		(280, 357)	(286, 357)	(286, 380)	(280, 380)
image	objekt		(305, 356)	(391, 355)	(391, 379)	(305, 380)
image	Na		(274, 151)	(305, 151)	(305, 174)	(274, 174)
image	následujících		(319, 151)	(510, 151)	(510, 174)	(319, 174)
image	obrázcích		(528, 151)	(658, 151)	(658, 174)	(528, 174)
image	č		(674, 151)	(685, 151)	(685, 174)	(674, 174)
image	.		(690, 151)	(698, 151)	(698, 174)	(690, 174)
image	6		(718, 151)	(731, 151)	(731, 174)	(718, 174)
image	-		(747, 151)	(762, 151)	(762, 174)	(747, 174)
image	26		(776, 151)	(804, 151)	(804, 174)	(776, 174)
image	předvádím		(821, 151)	(953, 151)	(953, 174)	(821, 174)
image	ukázky		(968, 151)	(1055, 151)	(1055, 174)	(968, 174)
