IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"חד
TN
OBJ. 95
OBJ. 113
OBJ. 110
OBJ. 109
OBJ. 94
KJ 92
wwwwwwwwwwHHHH
OBJ. 113
KJ 92
O
KJ 91
MM
OBJ. 112
OBJ. 129
TH
OBJ. 110
OBJ. 109
OBJ. 107
KJ 90
KJ 89
OBJ. 94
INA
OBJ. 107
TABULKA V
IMAI
OBJ. 130
OBJ. 95
OBJ. 112
KJ 90
KJ 91
L
KJ 89
OBJ. 130A"	en	(95, 29)	(1072, 29)	(1072, 1591)	(95, 1591)
image	חד		(169, 347)	(209, 347)	(209, 377)	(169, 377)
image	TN		(161, 632)	(207, 632)	(207, 665)	(161, 665)
image	OBJ		(220, 201)	(260, 200)	(260, 216)	(220, 217)
image	.		(260, 201)	(265, 201)	(265, 216)	(260, 216)
image	95		(276, 201)	(298, 201)	(298, 216)	(276, 216)
image	OBJ		(112, 1014)	(153, 1014)	(153, 1028)	(112, 1028)
image	.		(153, 1014)	(158, 1014)	(158, 1028)	(153, 1028)
image	113		(170, 1014)	(202, 1014)	(202, 1028)	(170, 1028)
image	OBJ		(212, 300)	(251, 300)	(251, 314)	(212, 314)
image	.		(253, 300)	(258, 300)	(258, 314)	(253, 314)
image	110		(269, 300)	(300, 300)	(300, 314)	(269, 314)
image	OBJ		(213, 395)	(253, 395)	(253, 408)	(213, 408)
image	.		(254, 395)	(259, 395)	(259, 408)	(254, 408)
image	109		(270, 395)	(301, 395)	(301, 408)	(270, 408)
image	OBJ		(214, 487)	(254, 487)	(254, 502)	(214, 502)
image	.		(256, 487)	(261, 487)	(261, 502)	(256, 502)
image	94		(270, 487)	(292, 487)	(292, 502)	(270, 502)
image	KJ		(234, 587)	(262, 587)	(262, 601)	(234, 601)
image	92		(265, 587)	(290, 587)	(290, 601)	(265, 601)
image	wwwwwwwwwwHHHH		(207, 631)	(312, 636)	(311, 649)	(206, 644)
image	OBJ		(208, 689)	(249, 689)	(249, 704)	(208, 704)
image	.		(249, 689)	(255, 689)	(255, 704)	(249, 704)
image	113		(265, 689)	(297, 689)	(297, 704)	(265, 704)
image	KJ		(228, 760)	(254, 760)	(254, 774)	(228, 774)
image	92		(259, 760)	(283, 760)	(283, 774)	(259, 774)
image	O		(245, 834)	(241, 1016)	(95, 1013)	(99, 831)
image	KJ		(231, 1109)	(258, 1109)	(258, 1123)	(231, 1123)
image	91		(262, 1109)	(285, 1109)	(285, 1123)	(262, 1123)
image	MM		(252, 1194)	(276, 1193)	(276, 1203)	(252, 1204)
image	OBJ		(295, 833)	(336, 833)	(336, 849)	(295, 849)
image	.		(337, 833)	(342, 833)	(342, 849)	(337, 849)
image	112		(346, 833)	(379, 833)	(379, 849)	(346, 849)
image	OBJ		(242, 1575)	(282, 1576)	(282, 1591)	(242, 1590)
image	.		(283, 1575)	(288, 1575)	(288, 1590)	(283, 1590)
image	129		(298, 1575)	(328, 1576)	(328, 1591)	(298, 1591)
image	TH		(395, 871)	(419, 883)	(414, 894)	(390, 882)
image	OBJ		(429, 503)	(468, 502)	(468, 518)	(429, 519)
image	.		(469, 502)	(474, 502)	(474, 517)	(469, 517)
image	110		(484, 502)	(516, 501)	(516, 516)	(484, 517)
image	OBJ		(452, 692)	(493, 692)	(493, 706)	(452, 706)
image	.		(494, 692)	(499, 692)	(499, 706)	(494, 706)
image	109		(509, 692)	(540, 692)	(540, 706)	(509, 706)
image	OBJ		(449, 762)	(490, 763)	(490, 779)	(449, 778)
image	.		(490, 762)	(495, 762)	(495, 778)	(490, 778)
image	107		(506, 762)	(537, 762)	(537, 779)	(506, 779)
image	KJ		(542, 1028)	(569, 1028)	(569, 1041)	(542, 1041)
image	90		(573, 1028)	(596, 1028)	(596, 1041)	(573, 1041)
image	KJ		(612, 938)	(639, 939)	(639, 952)	(612, 951)
image	89		(644, 938)	(666, 939)	(666, 953)	(644, 952)
image	OBJ		(697, 767)	(736, 766)	(736, 782)	(697, 783)
image	.		(737, 767)	(742, 767)	(742, 782)	(737, 782)
image	94		(751, 766)	(774, 766)	(774, 781)	(751, 781)
image	INA		(673, 1358)	(692, 1377)	(685, 1385)	(665, 1366)
image	OBJ		(799, 527)	(839, 526)	(839, 541)	(799, 542)
image	.		(839, 527)	(845, 527)	(845, 541)	(839, 541)
image	107		(854, 526)	(886, 526)	(886, 541)	(854, 541)
image	TABULKA		(874, 29)	(1037, 31)	(1037, 53)	(874, 51)
image	V		(1049, 31)	(1072, 31)	(1072, 52)	(1049, 52)
image	IMAI		(818, 1400)	(852, 1382)	(859, 1393)	(824, 1411)
image	OBJ		(759, 1577)	(799, 1577)	(799, 1591)	(759, 1591)
image	.		(800, 1577)	(805, 1577)	(805, 1591)	(800, 1591)
image	130		(816, 1577)	(847, 1577)	(847, 1591)	(816, 1591)
image	OBJ		(889, 91)	(928, 91)	(928, 108)	(889, 108)
image	.		(928, 91)	(933, 91)	(933, 107)	(928, 107)
image	95		(943, 91)	(964, 91)	(964, 107)	(943, 107)
image	OBJ		(856, 653)	(896, 653)	(896, 667)	(856, 667)
image	.		(896, 653)	(901, 653)	(901, 667)	(896, 667)
image	112		(906, 653)	(938, 653)	(938, 667)	(906, 667)
image	KJ		(867, 757)	(892, 757)	(892, 772)	(867, 772)
image	90		(896, 757)	(920, 757)	(920, 772)	(896, 772)
image	KJ		(866, 875)	(894, 875)	(894, 890)	(866, 890)
image	91		(897, 875)	(919, 875)	(919, 890)	(897, 890)
image	L		(886, 972)	(903, 973)	(902, 983)	(885, 982)
image	KJ		(942, 527)	(968, 528)	(968, 543)	(942, 542)
image	89		(971, 527)	(995, 528)	(995, 543)	(971, 542)
image	OBJ		(951, 969)	(990, 970)	(989, 987)	(951, 986)
image	.		(992, 971)	(996, 971)	(996, 987)	(992, 987)
image	130A		(1008, 971)	(1055, 972)	(1055, 988)	(1008, 987)
