IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"1
1
1
I
1
5
0101
0107
0212
0211
0106
0201
0213
0
0208
0108
0113
0210
1m
0202
0105
0203
0205
0102
0109
0206
0112
0204
0205
0208
0210
0209
0104
0111
0201
0206
0207
0103
0110"	und	(43, 176)	(1529, 176)	(1529, 1148)	(43, 1148)
image	1		(80, 184)	(90, 184)	(90, 197)	(80, 197)
image	1		(81, 227)	(89, 227)	(89, 240)	(81, 240)
image	1		(79, 271)	(89, 271)	(89, 285)	(79, 285)
image	I		(77, 294)	(90, 294)	(90, 309)	(77, 309)
image	1		(77, 316)	(92, 316)	(92, 331)	(77, 331)
image	5		(99, 1105)	(99, 1148)	(43, 1148)	(43, 1105)
image	0101		(336, 177)	(371, 177)	(371, 188)	(336, 188)
image	0107		(302, 246)	(338, 246)	(338, 258)	(302, 258)
image	0212		(373, 748)	(409, 748)	(409, 760)	(373, 760)
image	0211		(608, 741)	(641, 741)	(641, 753)	(608, 753)
image	0106		(698, 218)	(733, 218)	(733, 229)	(698, 229)
image	0201		(697, 592)	(731, 592)	(731, 603)	(697, 603)
image	0213		(697, 640)	(732, 640)	(732, 651)	(697, 651)
image	0		(707, 932)	(716, 932)	(716, 943)	(707, 943)
image	0208		(738, 683)	(774, 683)	(774, 694)	(738, 694)
image	0108		(875, 281)	(910, 281)	(910, 292)	(875, 292)
image	0113		(920, 352)	(955, 352)	(955, 364)	(920, 364)
image	0210		(906, 768)	(941, 768)	(941, 779)	(906, 779)
image	1m		(919, 932)	(941, 932)	(941, 943)	(919, 943)
image	0202		(946, 626)	(982, 626)	(982, 638)	(946, 638)
image	0105		(1003, 218)	(1039, 218)	(1039, 231)	(1003, 231)
image	0203		(967, 659)	(1003, 659)	(1003, 670)	(967, 670)
image	0205		(1026, 716)	(1061, 716)	(1061, 728)	(1026, 728)
image	0102		(1099, 176)	(1132, 176)	(1132, 188)	(1099, 188)
image	0109		(1118, 321)	(1151, 322)	(1151, 334)	(1118, 333)
image	0206		(1095, 752)	(1130, 752)	(1130, 764)	(1095, 764)
image	0112		(1131, 348)	(1167, 348)	(1167, 360)	(1131, 360)
image	0204		(1175, 646)	(1210, 647)	(1210, 659)	(1175, 658)
image	0205		(1200, 718)	(1233, 718)	(1233, 731)	(1200, 731)
image	0208		(1193, 781)	(1228, 781)	(1228, 792)	(1193, 792)
image	0210		(1299, 820)	(1333, 820)	(1333, 832)	(1299, 832)
image	0209		(1340, 747)	(1375, 747)	(1375, 758)	(1340, 758)
image	0104		(1380, 209)	(1415, 210)	(1415, 222)	(1380, 221)
image	0111		(1440, 337)	(1475, 337)	(1475, 348)	(1440, 348)
image	0201		(1423, 601)	(1458, 601)	(1458, 612)	(1423, 612)
image	0206		(1414, 649)	(1447, 649)	(1447, 660)	(1414, 660)
image	0207		(1415, 709)	(1450, 709)	(1450, 721)	(1415, 721)
image	0103		(1494, 192)	(1529, 192)	(1529, 203)	(1494, 203)
image	0110		(1475, 315)	(1510, 315)	(1510, 326)	(1475, 326)
