IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"Čáslav - Skála 2003
3386/03
E
8
PŘÍR Č
3387/03
દ
9
3 388/03
S
C
3389/03
9
1
3390/03
9
2
3 391/03
3
3392/03
9
4
3394/03
9
€
3395/03
AKCE
8
3 397/03
C
9
4398/03
C
C
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
3 393/03 Čáslav - Skála -
9
komunikace
5
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
3396/03 Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
Čáslav - Skála -
komunikace
4399/03 Čáslav - Skála -
C
komunikace
DATUM KONTEXT
15.7.2003 2467
11.8.2003 2467
11.8.2003 2467
18.7.2003 2467
18.7.2003 2467
18.7.2003 2467
12.8.2003 2467
18.7.2003 2467
18.7.2003 2467
18.7.2003 2467
18.7.2003 2467
18.7.2003 2467
12.8.2003 2467
12.8.2003 2467
seznam sáčků
SEKT ČÁST MECH_V
OR
RS
Z
N
Z
N
N
N
N
N
N
-35
30-40
-40
-40
-40
-40
40 - 50
-50
-50
-50
-50
-50
50-60
60-70
Ke,Ko,Ma,Ka, U
Ke, Ma, Ko, Ka
Ke,U,obsah nád.
Ke
OBSAH
Ke, Ma, U, Ko
Ke
Ke, Ma, Ko
Ke
Ke, Ma
U
Ke,Ko
Ke, Ma, Ko
Ke, Ma, Ko
Ke, Ma, Ko, U
41
Ke Ma Ko
ano
ano ano ano an ne
ano
ano
ano
ano
ano
ano
ne
ano
ano
ne
ano
ne
ne
ne
cl
ano
U ŠI BI
ano ano ano ne
ne
ne
C
0
ano ne
ne an
0
ano ano an ne
0
ne ne
ne ne
ne ne
ne ne
ano ne
ano ano ano ne
ano ano ne
ne ne
ne
ano ano ano an
0
ne
ne
ne an ne
0
ne
ne
ne
ne
ne
ne
ne ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ΚΙ
ne ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
BR
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
Dto mlýn KA bron
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ano
ano
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
N
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne
ne ne ne
ne
Fe Str jiné
ne
ne ne
ne
ne
ne ne
ne ne
ne ne
ne ne
ne ne
.
ne ne
ne ne
ne ne
ne ne
ne ne
ne ne
POZNAMKA
přetav.keramika
přetav.keramika
část nádoby
přetav.keramika
přetav.keramika
přetav.keramika
přetav.keramika
přetav.keramika
INV_CI
SLO"	und	(142, 73)	(1568, 73)	(1568, 1166)	(142, 1166)
image	Čáslav		(142, 73)	(198, 74)	(198, 92)	(142, 91)
image	-		(202, 75)	(213, 75)	(213, 92)	(202, 92)
image	Skála		(219, 75)	(265, 76)	(265, 93)	(219, 92)
image	2003		(270, 76)	(314, 77)	(314, 94)	(270, 93)
image	3386/03		(145, 259)	(201, 259)	(201, 274)	(145, 274)
image	E		(145, 281)	(153, 281)	(153, 292)	(145, 292)
image	8		(145, 300)	(152, 300)	(152, 310)	(145, 310)
image	PŘÍR		(159, 174)	(191, 176)	(190, 191)	(158, 189)
image	Č		(196, 177)	(205, 178)	(204, 192)	(195, 191)
image	3387/03		(145, 319)	(201, 318)	(201, 332)	(145, 333)
image	દ		(146, 342)	(151, 342)	(151, 352)	(146, 352)
image	9		(144, 361)	(153, 361)	(153, 372)	(144, 372)
image	3		(145, 380)	(153, 380)	(153, 394)	(145, 394)
image	388/03		(154, 379)	(201, 379)	(201, 393)	(154, 393)
