IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"5.2. Fotografická dokumentace
Tab. XXXV:1
Tab. XXXV:2"	cs	(456, 121)	(1072, 121)	(1072, 1635)	(456, 1635)
image	5.2		(456, 1616)	(484, 1616)	(484, 1635)	(456, 1635)
image	.		(484, 1616)	(488, 1616)	(488, 1634)	(484, 1634)
image	Fotografická		(495, 1616)	(608, 1615)	(608, 1634)	(495, 1635)
image	dokumentace		(614, 1615)	(730, 1614)	(730, 1633)	(614, 1634)
image	Tab		(940, 121)	(978, 121)	(978, 136)	(940, 136)
image	.		(980, 121)	(984, 121)	(984, 136)	(980, 136)
image	XXXV		(990, 121)	(1054, 121)	(1054, 136)	(990, 136)
image	:		(1054, 121)	(1060, 121)	(1060, 136)	(1054, 136)
image	1		(1061, 121)	(1072, 121)	(1072, 136)	(1061, 136)
image	Tab		(940, 818)	(979, 818)	(979, 833)	(940, 833)
image	.		(979, 818)	(983, 818)	(983, 833)	(979, 833)
image	XXXV		(989, 818)	(1053, 818)	(1053, 833)	(989, 833)
image	:		(1054, 818)	(1061, 818)	(1061, 833)	(1054, 833)
image	2		(1060, 818)	(1072, 818)	(1072, 833)	(1060, 833)
