IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"92
10. TERÉNNÍ A OBRAZOVÁ DOKUMENTACE
a) TEXTY A KOMENTÁŘ K PLÁNŮM
Jak uvedeno výše (srv. zejména str. 10), byly v roce 1974
zkoumány sondy 2a, 2b, 2c, 2d a jejich výzkum byl dokončen te-
prve v následující sezóně 1975. Proto bylo možné teprve v roce
1975 nakreslit celé řezy v sondách 2a 2d a plány s těmito řezy
budou z toho důvodu připojeny k nálezové zprávě za rok 1975.
K této nálezové zprávě připojuji 3 plány s půdorysy jednotlivých
fází výzkumu sond 2a 2d v roce 1974 a kopie čtyř odpovídají-
cích terénních skic.
-10
Plán 1. Umístění sond 2a
-
O
2d na parcele č. 25/6.
Plán 2. Situační plán sondy 2a (2.fáze), 2b (2.fáze) a 2c
(1.fáze) a celkový přehled sektorů v sondě 2 (a ch). 24.7.1974.
Plán 3. Terénní skica půdorysu sondy 2a + 2b ve 2.fázi vý-
zkumu a půdorysu sondy 2c v 1.fázi výzkumu. 24.7.1974.
Plán 4. Nivelační skica 2.fáze výzkumu sondy 2a + 2b a
1.fáze výzkumu sondy 2c. 24.7.1974.
Plán 5. Situační plán sondy 2a (3.fáze), 2b (3.fáze), 2c
(2.fáze) a 2d (3.fáze) a celkový přehled sektorů v sondě 2
(a - ch). 8.8.1974.
Plán 6. Terénní + nivelační skica půdorysu sondy 2a + 2b +
+2d ve 3.fázi výzkumu a půdorysu sondy 2c ve 2.fázi výzkumu.
8.8.1974.
Plán 7. Situační plán sondy 2a (4.fáze), 2b (4.fáze) a 2c
(3.fáze) a celkový přehled sektorů v sondě 2 (a ch). 22.8.1974.
Plán 8. Terénní + nivelační skica půdorysu sondy 2a + 2b
ve 4.fázi výzkumu a půdorysu sondy 2c ve 3.fázi výzkumu. 22.8.
1974.
-"	cs	(174, 27)	(1134, 27)	(1134, 1482)	(174, 1482)
image	92		(607, 33)	(636, 29)	(638, 47)	(609, 51)
image	10.		(181, 64)	(221, 64)	(221, 90)	(181, 90)
image	TERÉNNÍ		(240, 64)	(342, 65)	(342, 91)	(240, 90)
image	A		(356, 65)	(372, 65)	(372, 91)	(356, 91)
image	OBRAZOVÁ		(389, 65)	(506, 66)	(506, 93)	(389, 92)
image	DOKUMENTACE		(520, 66)	(684, 68)	(684, 95)	(520, 93)
image	a		(343, 122)	(358, 122)	(358, 149)	(343, 149)
image	)		(359, 121)	(370, 121)	(370, 148)	(359, 148)
image	TEXTY		(386, 121)	(460, 121)	(460, 148)	(386, 148)
image	A		(474, 121)	(490, 121)	(490, 148)	(474, 148)
image	KOMENTÁŘ		(503, 120)	(623, 119)	(623, 147)	(503, 148)
image	K		(635, 120)	(650, 120)	(650, 147)	(635, 147)
image	PLÁNŮM		(666, 119)	(755, 118)	(755, 145)	(666, 146)
image	Jak		(268, 220)	(314, 220)	(314, 245)	(268, 245)
image	uvedeno		(328, 220)	(430, 221)	(430, 246)	(328, 245)
image	výše		(446, 221)	(504, 221)	(504, 246)	(446, 246)
image	(		(523, 222)	(532, 222)	(532, 247)	(523, 247)
image	srv		(536, 222)	(579, 222)	(579, 247)	(536, 247)
image	.		(583, 222)	(590, 222)	(590, 247)	(583, 247)
image	zejména		(610, 222)	(711, 223)	(711, 249)	(610, 248)
