IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"252. MĚLNÍK - hrad, okr. Mělník
1983 KULT: Středověk, hradištní. LOK: Státní zámek Mělník, OKOL: Komise ve věci plánova-
ných terénních úprav v souvislosti s provozem Restaurací a jídelen. NÁLEZ: Byla projednána otázke úprav
sklepů, během níž prakticky nedojde k narušení archeologických zájmů. Současně byli účastníci seznámení
se zamýšlenou další etapou úprav /teplovodní vedení, zřízení kuchyňské provozovny/, které by výrazně za-
sáhly archeologicky klíčové prostory. Jelikož na tuto etapu nebyl dosud vyhotoven projektový úkol, uplat-
nili zástupci AÚ požadavek včasného předložení jeho návrhu k vyjádření v rámci schvalovacího řízení. LIT:
Z čj. 96/83.
BZO 1982-1983 p
100
K
i 1991/06
T, Durdík"	cs	(70, 139)	(1110, 139)	(1110, 1037)	(70, 1037)
image	252.		(174, 496)	(211, 496)	(211, 514)	(174, 514)
image	MĚLNÍK		(223, 496)	(298, 496)	(298, 514)	(223, 514)
image	-		(304, 496)	(313, 496)	(313, 514)	(304, 514)
image	hrad		(320, 496)	(360, 496)	(360, 514)	(320, 514)
image	,		(363, 496)	(367, 496)	(367, 514)	(363, 514)
image	okr		(377, 496)	(404, 496)	(404, 514)	(377, 514)
image	.		(408, 496)	(412, 496)	(412, 514)	(408, 514)
image	Mělník		(421, 496)	(481, 496)	(481, 514)	(421, 514)
image	1983		(224, 540)	(262, 540)	(262, 558)	(224, 558)
image	KULT		(285, 540)	(336, 540)	(336, 557)	(285, 557)
image	:		(339, 539)	(344, 539)	(344, 556)	(339, 556)
image	Středověk		(354, 539)	(440, 538)	(440, 556)	(354, 557)
image	,		(443, 538)	(447, 538)	(447, 555)	(443, 555)
image	hradištní		(457, 538)	(536, 537)	(536, 555)	(457, 556)
image	.		(537, 537)	(541, 537)	(541, 554)	(537, 554)
image	LOK		(551, 537)	(590, 537)	(590, 554)	(551, 554)
image	:		(592, 537)	(596, 537)	(596, 554)	(592, 554)
image	Státní		(608, 536)	(659, 536)	(659, 554)	(608, 554)
image	zámek		(666, 536)	(717, 536)	(717, 553)	(666, 553)
image	Mělník		(723, 535)	(782, 534)	(782, 552)	(723, 553)
image	,		(784, 535)	(789, 535)	(789, 552)	(784, 552)
image	OKOL		(798, 534)	(849, 534)	(849, 552)	(798, 552)
image	:		(852, 534)	(857, 534)	(857, 551)	(852, 551)
image	Komise		(867, 534)	(927, 533)	(927, 551)	(867, 552)
image	ve		(930, 533)	(948, 533)	(948, 551)	(930, 551)
image	věci		(957, 533)	(992, 533)	(992, 550)	(957, 550)
image	plánova		(999, 532)	(1062, 531)	(1062, 549)	(999, 550)
image	ných		(144, 571)	(184, 571)	(184, 592)	(144, 592)
image	terénních		(190, 571)	(272, 570)	(272, 590)	(190, 591)
image	úprav		(277, 570)	(327, 569)	(327, 589)	(277, 590)
image	v		(332, 569)	(344, 569)	(344, 589)	(332, 589)
image	souvislosti		(350, 569)	(445, 568)	(445, 589)	(350, 590)
image	s		(452, 568)	(461, 568)	(461, 588)	(452, 588)
image	provozem		(466, 567)	(548, 566)	(548, 587)	(466, 588)
image	Restaurací		(555, 566)	(650, 565)	(650, 586)	(555, 587)
image	a		(655, 566)	(665, 566)	(665, 586)	(655, 586)
