IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"شور و شر
2
keramika slavníkovské fáze z 10. století.
strukce vnitřní hradební, zdi (65/74); 2
(124/74). Foto: V.Jilkova.
1
Obr. 33
č.neg.AU
81 995
č.neg.AÚ
81 992
Sonda 2b 2c (1974). Keramika libické provenience: tzv.
1 - sonda 2b, de-
sonda 2c, vrstva 3"	cs	(189, 35)	(1094, 35)	(1094, 1499)	(189, 1499)
image	شور		(825, 801)	(904, 801)	(904, 877)	(825, 877)
image	و		(787, 801)	(809, 801)	(809, 877)	(787, 877)
image	شر		(758, 801)	(780, 801)	(780, 878)	(758, 878)
image	2		(886, 1142)	(901, 1142)	(901, 1159)	(886, 1159)
image	keramika		(190, 1423)	(310, 1424)	(310, 1450)	(190, 1449)
image	slavníkovské		(326, 1424)	(501, 1425)	(501, 1451)	(326, 1450)
image	fáze		(517, 1425)	(574, 1425)	(574, 1451)	(517, 1451)
image	z		(592, 1426)	(604, 1426)	(604, 1451)	(592, 1451)
image	10.		(620, 1426)	(660, 1426)	(660, 1451)	(620, 1451)
image	století		(665, 1426)	(766, 1427)	(766, 1453)	(665, 1452)
image	.		(770, 1427)	(778, 1427)	(778, 1452)	(770, 1452)
image	strukce		(192, 1446)	(294, 1447)	(294, 1473)	(192, 1472)
image	vnitřní		(309, 1447)	(413, 1448)	(413, 1474)	(309, 1473)
image	hradební		(428, 1448)	(546, 1449)	(546, 1475)	(428, 1474)
image	,		(543, 1449)	(551, 1449)	(551, 1474)	(543, 1474)
image	zdi		(562, 1449)	(604, 1449)	(604, 1474)	(562, 1474)
image	(		(624, 1449)	(633, 1449)	(633, 1474)	(624, 1474)
image	65/74		(636, 1450)	(707, 1450)	(707, 1475)	(636, 1475)
image	)		(711, 1450)	(721, 1450)	(721, 1475)	(711, 1475)
image	;		(727, 1450)	(734, 1450)	(734, 1475)	(727, 1475)
image	2		(768, 1450)	(782, 1450)	(782, 1475)	(768, 1475)
image	(		(194, 1473)	(205, 1473)	(205, 1496)	(194, 1496)
image	124/74		(205, 1473)	(294, 1473)	(294, 1496)	(205, 1496)
image	)		(297, 1473)	(308, 1473)	(308, 1496)	(297, 1496)
image	.		(311, 1473)	(321, 1473)	(321, 1496)	(311, 1496)
image	Foto		(343, 1473)	(393, 1473)	(393, 1496)	(343, 1496)
image	:		(400, 1473)	(411, 1473)	(411, 1496)	(400, 1496)
image	V.Jilkova		(425, 1473)	(546, 1473)	(546, 1496)	(425, 1496)
image	.		(545, 1473)	(554, 1473)	(554, 1496)	(545, 1496)
image	1		(947, 410)	(963, 410)	(963, 427)	(947, 427)
image	Obr		(990, 36)	(1033, 36)	(1033, 54)	(990, 54)
image	.		(1037, 36)	(1047, 36)	(1047, 54)	(1037, 54)
image	33		(1065, 36)	(1094, 36)	(1094, 54)	(1065, 54)
image	č.neg.AU		(946, 442)	(1065, 439)	(1066, 466)	(947, 469)
image	81		(948, 470)	(977, 471)	(976, 489)	(948, 488)
image	995		(990, 470)	(1035, 471)	(1034, 490)	(989, 489)
image	č.neg.AÚ		(886, 1173)	(1004, 1171)	(1004, 1198)	(886, 1200)
image	81		(888, 1201)	(915, 1202)	(914, 1221)	(887, 1220)
image	992		(931, 1202)	(973, 1203)	(972, 1222)	(930, 1221)
image	Sonda		(189, 1399)	(267, 1400)	(267, 1424)	(189, 1423)
image	2b		(279, 1399)	(311, 1399)	(311, 1423)	(279, 1423)
image	2c		(354, 1400)	(382, 1400)	(382, 1424)	(354, 1424)
image	(		(402, 1400)	(410, 1400)	(410, 1424)	(402, 1424)
image	1974		(413, 1400)	(470, 1400)	(470, 1424)	(413, 1424)
image	)		(475, 1400)	(484, 1400)	(484, 1424)	(475, 1424)
image	.		(492, 1401)	(498, 1401)	(498, 1425)	(492, 1425)
image	Keramika		(515, 1400)	(636, 1401)	(636, 1426)	(515, 1425)
image	libické		(650, 1401)	(753, 1402)	(753, 1427)	(650, 1426)
image	provenience		(769, 1402)	(929, 1403)	(929, 1428)	(769, 1427)
image	:		(936, 1404)	(942, 1404)	(942, 1428)	(936, 1428)
image	tzv		(960, 1404)	(1005, 1404)	(1005, 1428)	(960, 1428)
image	.		(1006, 1404)	(1017, 1404)	(1017, 1428)	(1006, 1428)
image	1		(811, 1427)	(826, 1427)	(826, 1452)	(811, 1452)
image	-		(843, 1427)	(857, 1427)	(857, 1452)	(843, 1452)
image	sonda		(872, 1427)	(946, 1427)	(946, 1453)	(872, 1453)
image	2b		(960, 1428)	(989, 1428)	(989, 1453)	(960, 1453)
image	,		(994, 1428)	(1000, 1428)	(1000, 1453)	(994, 1453)
image	de		(1019, 1428)	(1047, 1428)	(1047, 1453)	(1019, 1453)
image	sonda		(827, 1451)	(901, 1452)	(901, 1477)	(827, 1476)
image	2c		(916, 1451)	(945, 1451)	(945, 1477)	(916, 1477)
image	,		(949, 1452)	(956, 1452)	(956, 1477)	(949, 1477)
image	vrstva		(975, 1451)	(1064, 1452)	(1064, 1478)	(975, 1477)
image	3		(1079, 1453)	(1094, 1453)	(1094, 1478)	(1079, 1478)
