IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"F016 Sonda S12, spodní část řezu S12-RJ, pohled od SV
2
NE
44444
F159 plocha výzkumu po zasypání sond, pohled od S
F018 Sonda S12, spodní část řezu S12-RJ na západě sondy, pohled od SZ
F160 plocha výzkumu po zasypání sond, pohled od V
výběr z fotodokumentace
Výzkum 2015/21, PRAHA 2 - NOVÉ MĚSTO, Albertov 3a, ppč. 1556, 1557
obrazová příloha č. 52"	cs	(224, 236)	(1648, 236)	(1648, 1160)	(224, 1160)
image	F016		(224, 591)	(264, 591)	(264, 608)	(224, 608)
image	Sonda		(270, 591)	(320, 591)	(320, 608)	(270, 608)
image	S12		(325, 591)	(356, 591)	(356, 608)	(325, 608)
image	,		(357, 591)	(360, 591)	(360, 608)	(357, 608)
image	spodní		(367, 591)	(420, 591)	(420, 608)	(367, 608)
image	část		(424, 591)	(456, 591)	(456, 608)	(424, 608)
image	řezu		(462, 591)	(495, 591)	(495, 608)	(462, 608)
image	S12		(501, 591)	(531, 591)	(531, 608)	(501, 608)
image	-		(531, 591)	(537, 591)	(537, 608)	(531, 608)
image	RJ		(538, 591)	(559, 591)	(559, 608)	(538, 608)
image	,		(560, 591)	(563, 591)	(563, 608)	(560, 608)
image	pohled		(569, 591)	(621, 591)	(621, 608)	(569, 608)
image	od		(626, 591)	(645, 591)	(645, 608)	(626, 608)
image	SV		(651, 591)	(675, 591)	(675, 608)	(651, 608)
image	2		(307, 757)	(314, 757)	(314, 764)	(307, 764)
image	NE		(328, 747)	(340, 747)	(340, 755)	(328, 755)
image	44444		(594, 762)	(669, 761)	(669, 773)	(594, 774)
image	F159		(257, 1137)	(298, 1137)	(298, 1154)	(257, 1154)
image	plocha		(303, 1137)	(354, 1137)	(354, 1154)	(303, 1154)
image	výzkumu		(359, 1137)	(428, 1137)	(428, 1154)	(359, 1154)
image	po		(434, 1137)	(453, 1137)	(453, 1154)	(434, 1154)
image	zasypání		(458, 1137)	(529, 1137)	(529, 1154)	(458, 1154)
image	sond		(534, 1137)	(571, 1137)	(571, 1154)	(534, 1154)
image	,		(572, 1137)	(575, 1137)	(575, 1154)	(572, 1154)
image	pohled		(582, 1137)	(633, 1137)	(633, 1154)	(582, 1154)
image	od		(639, 1137)	(657, 1137)	(657, 1154)	(639, 1154)
image	S		(664, 1137)	(676, 1137)	(676, 1154)	(664, 1154)
image	F018		(934, 591)	(974, 591)	(974, 608)	(934, 608)
image	Sonda		(979, 591)	(1030, 591)	(1030, 608)	(979, 608)
image	S12		(1035, 591)	(1065, 591)	(1065, 608)	(1035, 608)
image	,		(1067, 591)	(1071, 591)	(1071, 608)	(1067, 608)
image	spodní		(1076, 591)	(1129, 591)	(1129, 608)	(1076, 608)
image	část		(1134, 591)	(1167, 591)	(1167, 608)	(1134, 608)
image	řezu		(1170, 591)	(1205, 591)	(1205, 608)	(1170, 608)
image	S12		(1211, 591)	(1241, 591)	(1241, 608)	(1211, 608)
image	-		(1242, 591)	(1248, 591)	(1248, 608)	(1242, 608)
image	RJ		(1247, 591)	(1269, 591)	(1269, 608)	(1247, 608)
image	na		(1274, 591)	(1293, 591)	(1293, 608)	(1274, 608)
image	západě		(1298, 591)	(1355, 591)	(1355, 608)	(1298, 608)
image	sondy		(1361, 591)	(1407, 591)	(1407, 608)	(1361, 608)
image	,		(1407, 591)	(1410, 591)	(1410, 608)	(1407, 608)
image	pohled		(1417, 591)	(1468, 591)	(1468, 608)	(1417, 608)
image	od		(1474, 591)	(1492, 591)	(1492, 608)	(1474, 608)
image	SZ		(1498, 591)	(1521, 591)	(1521, 608)	(1498, 608)
image	F160		(1033, 1137)	(1071, 1137)	(1071, 1154)	(1033, 1154)
image	plocha		(1077, 1137)	(1129, 1137)	(1129, 1154)	(1077, 1154)
image	výzkumu		(1133, 1137)	(1203, 1137)	(1203, 1154)	(1133, 1154)
image	po		(1209, 1137)	(1227, 1137)	(1227, 1154)	(1209, 1154)
image	zasypání		(1232, 1137)	(1305, 1137)	(1305, 1154)	(1232, 1154)
image	sond		(1308, 1137)	(1345, 1137)	(1345, 1154)	(1308, 1154)
image	,		(1347, 1137)	(1350, 1137)	(1350, 1154)	(1347, 1154)
image	pohled		(1357, 1137)	(1408, 1137)	(1408, 1154)	(1357, 1154)
