IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"Popis stratigrafických jednotek
SITUACE 1
0101 recentní navážka
0102 světle žlutohnědý písek (žulová drť), suchý, ulehlý
0103 světle hnědá písčitá hlína, konzistence tuhá
0104 dtto 0102
0105 dtto 0102
0106 dtto 0103
0107 světle okrová písčitá hlína, heterogenní, konzistence tuhá; směs vrstev typu 0102
a 0103, která patrně vznikla jejich promíšením
0108 tmavě hnědá hlína až písčitá hlína, ojediněle kameny (žula), konzistence tuhá
0109 dtto 0102
0110 světle žlutý jemný písek, suchý, ulehlý
0111 dtto 0102
0112 světle hnědošedá jílovitá hlína až jíl, četné kamínky, ojediněle kameny, místy
kompaktní uhlíky, ojedinělé fragmenty cihel, konzistence tuhá
0113 světle šedobílá vápenatá vrstva s četnými kamínky a hroudami čistého vápna,
konzistence tuhá
SITUACE 2
0201 recentní navážka
0202 tmavě hnědá jílovitá hlína s četnými zlomky cihel a novodobými artefakty
0203 tmavě hnědá písčitá hlína tuhé konzistence
0204 světle žlutohnědá písčitá hlína až písek se žulovou drtí a s recentními artefakty;
konzistence tuhá, - recentní vkop
0205 stavební sut' s četnými kameny, zlomky cihel - recentní vkop
0206 dtto 0204 s četnými kameny
0207 světle šedohnědá hlína s četnými hrudkami vápna, zlomky cihel, konzistence tuhá
0208 tmavě černá spáleništní vrstva (spálené dřevo), místy promíšená s tmavě hnědou hlínou
0209 tmavě hnědá písčitá hlína s hrubou pískovou frakcí, konzistence tuhá
0210 tmavě hnědá hlína s ojedinělými kamínky, konzistence tuhá
0211 červenohnědý hrubý písek, suchý, ulehlý (propálené podloží ?)
0212 hrubý písek - žulová drť', suchý, ulehlý (podloží)
0213 šedohnědá jílovitá hlína s četnými kameny, drobné uhlíky a drobnou nekompaktní frakcí
mazanice, konzistence tuhá
SITUACE 3
0301 drn
0302 tmavě hnědá písčitá hlína, s kameny (žula), fragmenty střešní krytiny, zlomky kostí
0303 červenohnědá plastická hlína se zbytky původního drnu, konzistence měkká
0304 středně hnědá písčitá hlína a kameny, konzistence kyprá
0305 hnědožlutý písek s čočkami hnědé – černé písčité hlíny, konzistence kyprá
0306 tmavě černá humusovitá písčitá hlína s čočkami žuly a žlutého písku, kyprá
0307 hnědožlutá písčitá hlína s čočkami černé a hnědé hlíny, konzistence kyprá
0308 středně hnědá hlína, kameny, konzistence měkká
0309 hnědožlutý kyprý písek
0310 bělošedá maltová vrstva se zlomky střešní krytiny, konzistence kyprá
0311 tmavě hnědá plastická hlína s kameny, konzistence měkká
0312 žlutohnědý kyprý písek
9"	cs	(139, 147)	(1049, 147)	(1049, 1606)	(139, 1606)
image	Popis		(141, 147)	(198, 147)	(198, 167)	(141, 167)
image	stratigrafických		(204, 147)	(366, 147)	(366, 167)	(204, 167)
image	jednotek		(373, 147)	(463, 147)	(463, 167)	(373, 167)
image	SITUACE		(141, 202)	(246, 201)	(246, 218)	(141, 219)
image	1		(254, 202)	(263, 202)	(263, 218)	(254, 218)
image	0101		(141, 230)	(188, 230)	(188, 247)	(141, 247)
image	recentní		(196, 230)	(273, 230)	(273, 247)	(196, 247)
image	navážka		(279, 230)	(357, 230)	(357, 247)	(279, 247)
image	0102		(141, 257)	(189, 257)	(189, 279)	(141, 279)
image	světle		(195, 257)	(251, 257)	(251, 279)	(195, 279)
image	žlutohnědý		(256, 257)	(364, 257)	(364, 279)	(256, 279)
image	písek		(370, 257)	(421, 257)	(421, 279)	(370, 279)
image	(		(427, 257)	(434, 257)	(434, 279)	(427, 279)
image	žulová		(434, 257)	(499, 257)	(499, 279)	(434, 279)
image	drť		(505, 257)	(535, 257)	(535, 279)	(505, 279)
image	)		(535, 257)	(542, 257)	(542, 279)	(535, 279)
image	,		(544, 257)	(548, 257)	(548, 279)	(544, 279)
image	suchý		(555, 257)	(610, 257)	(610, 279)	(555, 279)
image	,		(612, 257)	(616, 257)	(616, 279)	(612, 279)
image	ulehlý		(623, 257)	(683, 257)	(683, 279)	(623, 279)
image	0103		(141, 285)	(188, 285)	(188, 307)	(141, 307)
image	světle		(195, 285)	(251, 285)	(251, 307)	(195, 307)
image	hnědá		(257, 285)	(315, 285)	(315, 307)	(257, 307)
image	písčitá		(321, 285)	(383, 285)	(383, 307)	(321, 307)
image	hlína		(390, 285)	(437, 285)	(437, 307)	(390, 307)
image	,		(439, 285)	(443, 285)	(443, 307)	(439, 307)
image	konzistence		(450, 285)	(563, 285)	(563, 307)	(450, 307)
image	tuhá		(568, 285)	(610, 285)	(610, 307)	(568, 307)
image	0104		(141, 311)	(188, 311)	(188, 329)	(141, 329)
image	dtto		(194, 311)	(230, 311)	(230, 328)	(194, 328)
image	0102		(238, 311)	(285, 311)	(285, 328)	(238, 328)
image	0105		(141, 340)	(188, 340)	(188, 357)	(141, 357)
image	dtto		(195, 340)	(232, 340)	(232, 357)	(195, 357)
image	0102		(239, 340)	(286, 340)	(286, 357)	(239, 357)
image	0106		(141, 368)	(189, 368)	(189, 386)	(141, 386)
image	dtto		(195, 368)	(231, 368)	(231, 386)	(195, 386)
image	0103		(239, 368)	(287, 368)	(287, 386)	(239, 386)
image	0107		(141, 395)	(191, 395)	(191, 418)	(141, 418)
image	světle		(195, 395)	(253, 395)	(253, 418)	(195, 418)
image	okrová		(257, 395)	(324, 395)	(324, 418)	(257, 418)
image	písčitá		(330, 395)	(392, 395)	(392, 418)	(330, 418)
image	hlína		(399, 395)	(447, 395)	(447, 418)	(399, 418)
image	,		(447, 395)	(452, 395)	(452, 418)	(447, 418)
image	heterogenní		(459, 395)	(573, 395)	(573, 418)	(459, 418)
image	,		(573, 395)	(577, 395)	(577, 418)	(573, 418)
image	konzistence		(584, 395)	(696, 395)	(696, 418)	(584, 418)
image	tuhá		(704, 395)	(746, 395)	(746, 418)	(704, 418)
image	;		(746, 395)	(750, 395)	(750, 418)	(746, 418)
image	směs		(758, 395)	(804, 395)	(804, 418)	(758, 418)
image	vrstev		(811, 395)	(869, 395)	(869, 418)	(811, 418)
image	typu		(875, 395)	(919, 395)	(919, 418)	(875, 418)
image	0102		(924, 395)	(972, 395)	(972, 418)	(924, 418)
image	a		(196, 422)	(208, 422)	(208, 444)	(196, 444)
image	0103		(212, 422)	(259, 422)	(259, 444)	(212, 444)
image	,		(261, 422)	(266, 422)	(266, 444)	(261, 444)
