IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"Tab. 7
13
č. neg.
51 113a, b
Sonda 2a, 2c (1974). JV půle ohniště č. III (podloženého opu-
kovými placáky) na rozhraní sond 2a a 2c. Pohled od SV. Fofo J. Justová.
14
č. neg.
51 114a, b
Sonda 2a-2c (1974). Pohled do vnitřního příkopu opevnění
(na kontrol. bloku uprostřed zachována destrukce vnitř. hradeb.
zdi; vzadu v sondě 2c tato destrukce skrývána. Pohled od JV.
Foto J. Justová'."	cs	(164, 77)	(1168, 77)	(1168, 1508)	(164, 1508)
image	Tab		(1003, 77)	(1057, 77)	(1057, 100)	(1003, 100)
image	.		(1060, 77)	(1067, 77)	(1067, 100)	(1060, 100)
image	7		(1091, 77)	(1107, 77)	(1107, 100)	(1091, 100)
image	13		(946, 573)	(979, 573)	(979, 593)	(946, 593)
image	č		(903, 608)	(917, 609)	(916, 627)	(902, 626)
image	.		(921, 609)	(931, 610)	(930, 628)	(920, 627)
image	neg		(948, 611)	(992, 614)	(991, 632)	(947, 629)
image	.		(994, 614)	(1002, 615)	(1001, 633)	(993, 632)
image	51		(902, 633)	(933, 633)	(933, 655)	(902, 655)
image	113a		(947, 633)	(1008, 633)	(1008, 655)	(947, 655)
image	,		(1010, 633)	(1017, 633)	(1017, 655)	(1010, 655)
image	b		(1034, 633)	(1049, 633)	(1049, 655)	(1034, 655)
image	Sonda		(165, 679)	(240, 679)	(240, 705)	(165, 705)
image	2a		(255, 679)	(286, 679)	(286, 705)	(255, 705)
image	,		(288, 679)	(295, 679)	(295, 705)	(288, 705)
image	2c		(313, 679)	(341, 679)	(341, 705)	(313, 705)
image	(		(356, 679)	(370, 679)	(370, 705)	(356, 705)
image	1974		(372, 679)	(428, 679)	(428, 705)	(372, 705)
image	)		(433, 679)	(443, 679)	(443, 705)	(433, 705)
image	.		(449, 679)	(455, 679)	(455, 705)	(449, 705)
image	JV		(475, 679)	(505, 679)	(505, 705)	(475, 705)
image	půle		(519, 679)	(577, 679)	(577, 705)	(519, 705)
image	ohniště		(594, 679)	(696, 679)	(696, 705)	(594, 705)
image	č		(711, 679)	(724, 679)	(724, 705)	(711, 705)
image	.		(730, 679)	(739, 679)	(739, 705)	(730, 705)
image	III		(755, 679)	(799, 679)	(799, 705)	(755, 705)
image	(		(814, 679)	(824, 679)	(824, 705)	(814, 705)
image	podloženého		(828, 679)	(994, 679)	(994, 705)	(828, 705)
image	opu		(1006, 679)	(1050, 679)	(1050, 705)	(1006, 705)
image	kovými		(164, 701)	(254, 701)	(254, 728)	(164, 728)
image	placáky		(269, 701)	(372, 701)	(372, 728)	(269, 728)
image	)		(373, 701)	(382, 701)	(382, 728)	(373, 728)
image	na		(401, 701)	(431, 701)	(431, 728)	(401, 728)
image	rozhraní		(446, 701)	(562, 701)	(562, 728)	(446, 728)
image	sond		(579, 701)	(638, 701)	(638, 728)	(579, 728)
image	2a		(652, 701)	(682, 701)	(682, 728)	(652, 728)
image	a		(698, 701)	(712, 701)	(712, 728)	(698, 728)
image	2c		(726, 701)	(754, 701)	(754, 728)	(726, 728)
image	.		(761, 701)	(767, 701)	(767, 728)	(761, 728)
image	Pohled		(784, 701)	(872, 701)	(872, 728)	(784, 728)
image	od		(889, 701)	(916, 701)	(916, 728)	(889, 728)
image	SV		(933, 701)	(962, 701)	(962, 728)	(933, 728)
image	.		(966, 701)	(973, 701)	(973, 728)	(966, 728)
image	Fofo		(986, 701)	(1037, 701)	(1037, 728)	(986, 728)
image	J.		(1048, 701)	(1067, 701)	(1067, 728)	(1048, 728)
image	Justová		(1071, 701)	(1160, 701)	(1160, 728)	(1071, 728)
image	.		(1160, 701)	(1168, 701)	(1168, 728)	(1160, 728)
image	14		(944, 1152)	(971, 1152)	(971, 1170)	(944, 1170)
image	č		(899, 1187)	(913, 1188)	(912, 1207)	(898, 1206)
image	.		(917, 1188)	(927, 1189)	(926, 1208)	(916, 1207)
image	neg		(944, 1189)	(989, 1192)	(988, 1211)	(943, 1208)
image	.		(990, 1192)	(998, 1192)	(997, 1211)	(989, 1211)
image	51		(898, 1213)	(930, 1213)	(930, 1234)	(898, 1234)
image	114a		(944, 1213)	(1004, 1213)	(1004, 1234)	(944, 1234)
image	,		(1007, 1213)	(1014, 1213)	(1014, 1234)	(1007, 1234)
image	b		(1030, 1213)	(1045, 1213)	(1045, 1234)	(1030, 1234)
image	Sonda		(165, 1415)	(240, 1415)	(240, 1440)	(165, 1440)
image	2a		(254, 1415)	(284, 1415)	(284, 1440)	(254, 1440)
image	-		(283, 1415)	(297, 1415)	(297, 1440)	(283, 1440)
image	2c		(299, 1415)	(326, 1415)	(326, 1440)	(299, 1440)
image	(		(343, 1415)	(355, 1415)	(355, 1440)	(343, 1440)
image	1974		(358, 1415)	(415, 1415)	(415, 1440)	(358, 1440)
image	)		(418, 1415)	(427, 1415)	(427, 1440)	(418, 1440)
image	.		(436, 1415)	(442, 1415)	(442, 1440)	(436, 1440)
image	Pohled		(461, 1415)	(550, 1415)	(550, 1440)	(461, 1440)
image	do		(564, 1415)	(592, 1415)	(592, 1440)	(564, 1440)
image	vnitřního		(607, 1415)	(741, 1415)	(741, 1440)	(607, 1440)
image	příkopu		(756, 1415)	(859, 1415)	(859, 1440)	(756, 1440)
image	opevnění		(875, 1415)	(992, 1415)	(992, 1440)	(875, 1440)
image	(		(165, 1438)	(177, 1438)	(177, 1463)	(165, 1463)
image	na		(180, 1438)	(211, 1438)	(211, 1463)	(180, 1463)
image	kontrol		(225, 1438)	(327, 1438)	(327, 1463)	(225, 1463)
image	.		(332, 1438)	(341, 1438)	(341, 1463)	(332, 1463)
image	bloku		(357, 1438)	(431, 1438)	(431, 1463)	(357, 1463)
image	uprostřed		(448, 1438)	(578, 1438)	(578, 1463)	(448, 1463)
image	zachována		(595, 1438)	(727, 1438)	(727, 1463)	(595, 1463)
image	destrukce		(743, 1438)	(873, 1438)	(873, 1463)	(743, 1463)
image	vnitř		(888, 1438)	(964, 1438)	(964, 1463)	(888, 1463)
image	.		(968, 1438)	(975, 1438)	(975, 1463)	(968, 1463)
image	hradeb		(993, 1438)	(1080, 1438)	(1080, 1463)	(993, 1463)
image	.		(1084, 1438)	(1092, 1438)	(1092, 1463)	(1084, 1463)
image	zdi		(166, 1465)	(208, 1465)	(208, 1489)	(166, 1489)
image	;		(213, 1465)	(221, 1465)	(221, 1489)	(213, 1489)
image	vzadu		(238, 1465)	(314, 1465)	(314, 1489)	(238, 1489)
image	v		(327, 1465)	(343, 1465)	(343, 1489)	(327, 1489)
image	sondě		(359, 1465)	(431, 1465)	(431, 1489)	(359, 1489)
image	2c		(447, 1465)	(475, 1465)	(475, 1489)	(447, 1489)
image	tato		(493, 1465)	(550, 1465)	(550, 1489)	(493, 1489)
image	destrukce		(566, 1465)	(696, 1465)	(696, 1489)	(566, 1489)
image	skrývána		(715, 1465)	(831, 1465)	(831, 1489)	(715, 1489)
image	.		(835, 1465)	(841, 1465)	(841, 1489)	(835, 1489)
image	Pohled		(858, 1465)	(948, 1465)	(948, 1489)	(858, 1489)
image	od		(965, 1465)	(993, 1465)	(993, 1489)	(965, 1489)
image	JV		(1006, 1465)	(1037, 1465)	(1037, 1489)	(1006, 1489)
image	.		(1040, 1465)	(1048, 1465)	(1048, 1489)	(1040, 1489)
image	Foto		(171, 1488)	(221, 1487)	(221, 1507)	(171, 1508)
image	J.		(232, 1488)	(250, 1488)	(250, 1507)	(232, 1507)
image	Justová		(258, 1487)	(365, 1486)	(365, 1506)	(258, 1507)
image	'		(357, 1486)	(369, 1486)	(369, 1505)	(357, 1505)
image	.		(366, 1486)	(373, 1486)	(373, 1505)	(366, 1505)
