IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"5
zídku, oddělenou od 2. do 4. vrstvy kamenného krytu v jižní
půli mohyly pravidelným 0,35-0,50 m širokým průhem hlíny. Te-
prve po jeho vykopání a očistění vynikla celá elipsovitá stav-
ba s pečlivě provedeným zaoblením jako vrcholová dominanta té-
to mohyly, stejně vysoká z jižní i severní strany (obr. 12).
Přesně v prodloužení středové podélné osy o 0,50 m východním
směrem mimo kamenný kryt, který sem z JV části zasahoval jen
kameny v horní vrstvě, nacházel se velký kus břidlice téměř
pravidelně otesaný do tvaru kvádru o stranách 40x33x8 cm a
postavený na užší delší stranu a směrovaný přesně k východu
(obr. 13).
Horní plochá vrstva vrcholové elipsovité stavby byla kromě
obvodu bez kamenů a zde byly při odkrývání odškrabávány tenké
vrstvy asi do hloubky 30 cm obvodové zídky, a až zde se poča-
ly objevovat kameny na západní straně a uvnitř (obr. 8). Od
této hloubky se odebíraly současně s vnitřními kameny po vrst-
vách i obvodové. Podle toho, jak pevně lpěly kameny ve vodo-
rovných vrstvách lze usuzovat, že byly původně stavěny na su-
cho a kladeny jako tašky na střeše, protože to byly spíše ten-
čí kusy šedé břidlice a hlína se dovnitř dostala až dodatečně
z horního krytu, který byl hlínou zasypán. Ve spodních vrst-
vách stavby jsou kameny po celé ploše vodorovně kladeny a pev-
ně do sebe vkliňovány. Původní úroveň v této stavbě byla za-
hloubena asi 0,30-0,40 m pod dnešní vykopanou úrovní ve střed-
ní části mohyly u hrobu 1. Bylo to zjištěno malou sondou, vyko-
panou vedle severní strany stavby. Od horní vrstvy až po původ-
ní úroven byla elipsovitá stavba tvořena 6 vrstvami kamenů
(obr. 9-12). Dno elipsovité stavby představovala podlaha z ně-
kolika velkých břidlicových desek, na nichž ležela hlinitá"	cs	(187, 39)	(1120, 39)	(1120, 1506)	(187, 1506)
image	5		(1094, 39)	(1111, 39)	(1111, 59)	(1094, 59)
image	zídku		(190, 133)	(263, 133)	(263, 159)	(190, 159)
image	,		(266, 133)	(272, 133)	(272, 159)	(266, 159)
image	oddělenou		(293, 133)	(424, 133)	(424, 159)	(293, 159)
image	od		(443, 133)	(467, 133)	(467, 159)	(443, 159)
image	2.		(485, 133)	(509, 133)	(509, 159)	(485, 159)
image	do		(529, 133)	(556, 133)	(556, 159)	(529, 159)
image	4.		(572, 133)	(598, 133)	(598, 159)	(572, 159)
image	vrstvy		(618, 133)	(706, 133)	(706, 159)	(618, 159)
image	kamenného		(720, 133)	(852, 133)	(852, 159)	(720, 159)
image	krytu		(869, 133)	(942, 133)	(942, 159)	(869, 159)
image	v		(958, 133)	(972, 133)	(972, 159)	(958, 159)
image	jižní		(987, 133)	(1062, 133)	(1062, 159)	(987, 159)
image	půli		(189, 181)	(249, 181)	(249, 208)	(189, 208)
image	mohyly		(263, 181)	(352, 181)	(352, 208)	(263, 208)
image	pravidelným		(367, 181)	(528, 181)	(528, 208)	(367, 208)
