IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"6
2
7
3
5
Obr. 20
L 102/74
c. neg. Ali 82.009
Sonda 2b (1974), vrstva 3 z 10. stol., povrch opukové de-
strukce při jižní líci jižní podezdívky pravděpodobného
kněžského domu, nálezová situace 102/74. 1 - 7 výběr
libické keramiky. Foto V. Jílková."	cs	(190, 25)	(1133, 25)	(1133, 1477)	(190, 1477)
image	6		(277, 1060)	(291, 1061)	(290, 1080)	(276, 1079)
image	2		(585, 414)	(600, 414)	(600, 431)	(585, 431)
image	7		(780, 1055)	(796, 1057)	(794, 1076)	(778, 1075)
image	3		(831, 402)	(846, 401)	(847, 419)	(832, 420)
image	5		(828, 698)	(843, 698)	(843, 716)	(828, 716)
image	Obr		(1030, 25)	(1072, 25)	(1072, 43)	(1030, 43)
image	.		(1076, 25)	(1085, 25)	(1085, 43)	(1076, 43)
image	20		(1102, 25)	(1133, 25)	(1133, 43)	(1102, 43)
image	L		(944, 1209)	(964, 1208)	(965, 1244)	(945, 1245)
image	102/74		(969, 1207)	(1076, 1203)	(1077, 1240)	(970, 1244)
image	c		(831, 1277)	(846, 1277)	(846, 1313)	(831, 1313)
image	.		(846, 1277)	(857, 1277)	(857, 1313)	(846, 1313)
image	neg		(859, 1277)	(901, 1278)	(901, 1314)	(859, 1313)
image	.		(898, 1277)	(908, 1277)	(908, 1313)	(898, 1313)
image	Ali		(912, 1278)	(949, 1278)	(949, 1314)	(912, 1314)
image	82.009		(960, 1278)	(1052, 1279)	(1052, 1316)	(960, 1315)
image	Sonda		(190, 1377)	(267, 1377)	(267, 1403)	(190, 1403)
image	2b		(281, 1377)	(311, 1377)	(311, 1403)	(281, 1403)
image	(		(328, 1377)	(339, 1377)	(339, 1403)	(328, 1403)
image	1974		(339, 1377)	(397, 1377)	(397, 1403)	(339, 1403)
image	)		(401, 1377)	(410, 1377)	(410, 1403)	(401, 1403)
image	,		(418, 1377)	(425, 1377)	(425, 1403)	(418, 1403)
image	vrstva		(443, 1377)	(533, 1377)	(533, 1403)	(443, 1403)
image	3		(548, 1377)	(561, 1377)	(561, 1403)	(548, 1403)
image	z		(577, 1377)	(591, 1377)	(591, 1403)	(577, 1403)
image	10.		(606, 1377)	(646, 1377)	(646, 1403)	(606, 1403)
image	stol		(652, 1377)	(709, 1377)	(709, 1403)	(652, 1403)
image	.		(713, 1377)	(722, 1377)	(722, 1403)	(713, 1403)
image	,		(729, 1377)	(736, 1377)	(736, 1403)	(729, 1403)
image	povrch		(755, 1377)	(843, 1377)	(843, 1403)	(755, 1403)
image	opukové		(858, 1377)	(959, 1377)	(959, 1403)	(858, 1403)
image	de		(976, 1377)	(1004, 1377)	(1004, 1403)	(976, 1403)
image	strukce		(192, 1400)	(296, 1400)	(296, 1427)	(192, 1427)
image	při		(310, 1400)	(354, 1400)	(354, 1427)	(310, 1427)
image	jižní		(372, 1400)	(443, 1400)	(443, 1427)	(372, 1427)
image	líci		(459, 1400)	(516, 1400)	(516, 1427)	(459, 1427)
image	jižní		(535, 1400)	(605, 1400)	(605, 1427)	(535, 1427)
image	podezdívky		(621, 1400)	(769, 1400)	(769, 1427)	(621, 1427)
image	pravděpodobného		(784, 1400)	(1006, 1400)	(1006, 1427)	(784, 1427)
image	kněžského		(192, 1426)	(325, 1426)	(325, 1452)	(192, 1452)
image	domu		(340, 1426)	(400, 1426)	(400, 1452)	(340, 1452)
image	,		(404, 1426)	(410, 1426)	(410, 1452)	(404, 1452)
image	nálezová		(429, 1426)	(548, 1426)	(548, 1452)	(429, 1452)
image	situace		(564, 1426)	(663, 1426)	(663, 1452)	(564, 1452)
image	102/74		(680, 1426)	(771, 1426)	(771, 1452)	(680, 1452)
image	.		(772, 1426)	(782, 1426)	(782, 1452)	(772, 1452)
image	1		(813, 1426)	(828, 1426)	(828, 1452)	(813, 1452)
image	-		(843, 1426)	(859, 1426)	(859, 1452)	(843, 1452)
image	7		(872, 1426)	(887, 1426)	(887, 1452)	(872, 1452)
image	výběr		(901, 1426)	(975, 1426)	(975, 1452)	(901, 1452)
image	libické		(192, 1451)	(294, 1450)	(294, 1476)	(192, 1477)
image	keramiky		(309, 1450)	(427, 1449)	(427, 1475)	(309, 1476)
image	.		(432, 1450)	(439, 1450)	(439, 1475)	(432, 1475)
image	Foto		(461, 1449)	(521, 1449)	(521, 1475)	(461, 1475)
image	V.		(539, 1449)	(562, 1449)	(562, 1474)	(539, 1474)
image	Jílková		(570, 1449)	(686, 1448)	(686, 1473)	(570, 1474)
image	.		(687, 1448)	(696, 1448)	(696, 1473)	(687, 1473)
